Mutation Types	01658141-8398-4585-9f0f-8355dd9b0604	7cdbe0e8-f614-4f54-b864-fd6b39e8ef1c	98bb3025-0637-4106-8621-12df7b5d662f	db45d81f-695c-4f99-beea-6dbec1ff47fc	ddc7377d-82c3-480a-be3c-3d1da52c77d4	f221cbb5-eefa-187f-e040-11ac0c481708	f393ba16-9361-5df4-e040-11ac0d4844e8	f393baf9-2710-9203-e040-11ac0d484504	f393bafd-1baa-e5f4-e040-11ac0d48450b	f393bafe-7503-5c45-e040-11ac0d484511	f393bb00-888d-710f-e040-11ac0d484518	f393bb01-6ed7-9533-e040-11ac0d484521	f393bb05-53c2-f80a-e040-11ac0d484528	f393bb05-ec1c-17be-e040-11ac0d48452f	f393bb07-270c-2c93-e040-11ac0d484533	f393bb08-4121-cad8-e040-11ac0d484535	f393bb0a-df7d-645c-e040-11ac0d484550	f393bb0b-08ed-3335-e040-11ac0d484554	f7b847e5-0f5d-69b4-e040-11ac0c4845fe	f7b84b5d-8f28-e6b7-e040-11ac0c484704	f7b84c09-15d4-3046-e040-11ac0c4847ff	f7c6486a-bb08-f77a-e040-11ac0c482953	f7c6a336-3126-7580-e040-11ac0c485971	f7d70fac-c76f-399e-e040-11ac0c482f9c	f7d77a03-28a0-f446-e040-11ac0c4866fb	f7d7b3db-02af-61cb-e040-11ac0c480c03	f7e4a2a8-093d-9e36-e040-11ac0d480c7d	f7e7b258-b4b2-e6c5-e040-11ac0d486773	f7ed28a6-8f5f-e87b-e040-11ac0c48120e	f7f66114-e321-1d4c-e040-11ac0d48541a	f809247c-2bab-ab06-e040-11ac0d482b8a	fc447d4f-2532-c8ea-e040-11ac0c48469f	fc447d53-24d1-c83d-e040-11ac0c4846a6	fc447d55-95d8-0b34-e040-11ac0d483afa	fc5dc6d8-62d2-76d8-e040-11ac0d4863c3	fc639186-8302-798e-e040-11ac0c484cec	fc63cbab-d27a-5ebb-e040-11ac0c48724f	fc68e599-6a40-61dc-e040-11ac0d48700d	fc7eb420-5c13-20bd-e040-11ac0d484574	fc7f8eeb-9c40-123e-e040-11ac0c484061	fc8130df-1bc2-c537-e040-11ac0d485de6	fc8130df-1cdd-cade-e040-11ac0d485dec	fc8130df-1e8f-c879-e040-11ac0d485df4	fc8130df-2211-cfcc-e040-11ac0d485dde	fc8130df-24d9-32f1-e040-11ac0d485df0	fc8130df-2628-304a-e040-11ac0d485dfa	fc8130df-297f-34a3-e040-11ac0d485e02	fc8130df-2ca4-39d2-e040-11ac0d485e00	fc8130df-2d5f-3b53-e040-11ac0d485dee	fc8130df-2e39-3814-e040-11ac0d485de0	fc8130df-3147-3e94-e040-11ac0d485df8	fc8130df-3361-3c8a-e040-11ac0d485dea	fc8130df-34f8-22c6-e040-11ac0d485de8	fc8130df-35ac-2304-e040-11ac0d485dda	fc8130df-6860-7677-e040-11ac0d485ddc	fc8130df-6977-7704-e040-11ac0d485de4	fc8130df-6bec-7627-e040-11ac0d485e04	fc8130df-897d-5404-e040-11ac0d485e0a	fc8130df-8ec8-5b1e-e040-11ac0d485e06	fc8130df-90ba-5d94-e040-11ac0d485e0c	fc8130df-e399-e34d-e040-11ac0c483279	fc8130e0-08dd-b996-e040-11ac0c48327b	fc8130e0-0b9c-bbc9-e040-11ac0c483266	fc8130e0-0bfa-bba4-e040-11ac0c48328d	fc8130e0-0c53-b432-e040-11ac0c483283	fc8130e0-0dcf-b558-e040-11ac0c483285	fc8130e0-a39a-23b5-e040-11ac0c483270	fc8130e0-a538-dda3-e040-11ac0c483264	fc8130e0-a539-dda8-e040-11ac0c48326a	fc8130e0-a774-d834-e040-11ac0c483268	fc8130e0-a94d-d9d0-e040-11ac0c483262	fc8130e0-ad63-b804-e040-11ac0d485e10	fc8130e0-ad66-b82e-e040-11ac0d485e0e	fc8130e0-ad8a-b832-e040-11ac0d485e14	fc8130e0-aed2-bb2f-e040-11ac0d485e12	fc8130e2-f2ef-d096-e040-11ac0c483293	fc8130e3-01ba-c740-e040-11ac0c483291	fc8130e3-023d-c7d4-e040-11ac0c483295	fc8130e5-18b8-ef38-e040-11ac0c483297	fc81312a-99ae-7672-e040-11ac0c4832a2	fc93b9ab-760a-5223-e040-11ac0c482177	fc9dbf68-4599-3c64-e040-11ac0d481623	fc9f6cb0-ceb9-790d-e040-11ac0c480ad1	fca07e09-1fd2-9ef5-e040-11ac0d485bbd	fca3f7d0-2231-661c-e040-11ac0c4832fd	fca6150f-d555-a29e-e040-11ac0d4873b2
2:LOH:>40Mb	5	2	1	10	0	3	1	2	0	2	3	1	0	1	6	5	0	3	0	1	0	0	0	2	0	0	0	5	1	0	0	1	2	7	0	1	6	6	0	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	16	2	1	1	0	1	0	0	0	7	4	2	0	0	4	0	0	2	3	3	4	7	11	0	5	0	3	3
3-4:LOH:0-100kb	5	0	0	4	1	10	0	10	1	0	23	1	1	3	8	2	0	4	0	2	0	0	0	3	0	0	0	3	0	0	0	0	1	2	6	1	4	7	6	3	0	0	0	0	0	1	0	0	0	0	0	0	0	3	2	0	6	1	11	7	0	3	0	0	0	0	0	5	16	0	4	0	0	0	0	0	7	0	0	0	4	2	20	1	5	1
3-4:LOH:100kb-1Mb	7	4	0	10	3	3	0	4	2	1	19	2	3	5	4	1	0	6	0	0	0	0	1	3	0	0	0	6	0	0	0	0	1	6	7	0	5	5	1	9	1	0	0	1	0	0	0	0	2	0	0	0	0	2	0	0	1	3	16	0	0	0	0	0	0	0	0	5	19	0	13	0	0	0	1	0	2	0	3	1	5	8	21	5	3	9
3-4:LOH:1Mb-10Mb	9	2	2	3	0	7	0	6	4	3	36	2	3	8	12	2	0	14	0	0	0	0	0	3	0	0	0	3	1	0	0	0	0	4	6	2	6	11	3	8	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	6	1	0	1	0	0	0	0	0	8	15	0	1	0	0	0	0	1	9	0	5	1	3	1	24	1	10	6
3-4:LOH:10Mb-40Mb	4	0	1	3	0	8	0	0	0	4	8	0	2	0	3	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	5	8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	5	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	3	1	2	0	6	0	6	1
3-4:LOH:>40Mb	1	1	0	1	0	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	10	0	2	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	2
5-8:LOH:0-100kb	0	1	0	6	3	3	0	0	1	0	12	0	0	7	1	1	0	6	0	0	0	0	0	1	0	0	1	3	0	0	0	0	1	0	2	0	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2	1	4	2	0	4	0	0	0	0	0	6	1	0	12	0	0	0	0	0	4	0	0	0	0	0	2	0	3	4
5-8:LOH:100kb-1Mb	0	0	0	1	2	2	0	0	0	0	11	0	0	3	0	0	0	8	0	0	0	0	0	3	0	0	0	4	0	0	0	0	1	2	0	0	1	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	2	0	8	6	0	11	0	0	0	0	0	3	0	0	0	2	1	3	0	9	9
5-8:LOH:1Mb-10Mb	0	0	1	3	0	1	0	0	0	0	6	0	0	1	1	0	0	15	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	2	0	3	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	2	0	0	0	0	0	0	0	3	4	0	2	0	0	0	0	0	9	0	0	0	5	0	2	0	5	0
5-8:LOH:10Mb-40Mb	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
5-8:LOH:>40Mb	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:0-100kb	0	0	1	0	1	0	0	2	0	0	1	0	1	79	2	0	0	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	23	0	0	0	0	0	4	4	0	40	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4
9+:LOH:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	16	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	1	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
9+:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
9+:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:het:0-100kb	8	3	0	3	2	5	0	9	1	4	4	2	0	6	1	2	2	12	0	2	0	0	2	6	0	0	4	0	0	2	2	1	2	2	2	0	4	0	3	8	0	0	2	3	0	0	2	0	1	12	4	4	5	8	0	1	0	4	0	3	1	7	0	0	0	0	0	4	2	6	5	0	0	1	2	0	2	0	1	0	1	2	8	4	0	9
2:het:100kb-1Mb	13	7	0	0	9	1	1	4	4	0	1	1	0	5	0	0	6	1	1	2	0	0	3	9	0	0	5	0	0	6	2	5	6	2	0	4	3	0	11	5	2	0	11	1	0	1	0	0	27	8	10	4	3	23	0	2	6	7	0	0	7	8	4	0	0	0	0	0	2	2	1	4	0	1	8	0	0	0	1	1	1	9	0	6	0	10
2:het:1Mb-10Mb	8	4	1	3	7	6	2	16	11	0	1	13	0	1	0	0	4	4	0	0	0	0	6	2	0	0	11	1	0	5	7	13	9	1	0	7	1	5	49	11	3	0	17	16	0	0	0	1	20	8	3	7	6	94	0	0	32	12	0	0	3	18	6	0	0	0	1	3	0	7	4	8	0	1	10	1	0	0	0	0	0	9	5	15	0	4
2:het:10Mb-40Mb	6	3	10	1	6	5	0	22	23	0	0	25	0	1	0	0	11	6	3	0	2	3	3	1	5	3	16	2	0	3	0	22	3	0	0	8	6	1	24	6	7	2	8	29	1	5	3	2	4	9	3	7	13	70	0	4	35	6	0	0	7	9	6	2	1	1	3	1	1	6	9	25	0	4	9	0	0	0	0	0	3	6	1	17	0	8
2:het:>40Mb	0	2	16	1	19	0	0	5	12	0	0	8	0	1	0	0	12	2	20	0	19	20	19	0	20	22	15	0	0	18	0	10	4	0	2	8	1	3	3	6	14	21	21	19	15	18	14	17	17	20	19	14	20	5	0	20	5	11	0	0	18	19	14	19	15	0	24	1	1	8	19	20	0	19	15	1	0	1	2	0	0	6	0	7	0	2
3-4:het:0-100kb	21	10	2	17	23	20	3	31	6	16	40	7	3	44	13	4	3	15	0	19	0	0	3	38	0	0	4	16	0	3	0	8	30	4	3	8	15	9	65	20	4	0	0	5	0	1	0	0	9	12	1	0	5	160	6	5	45	10	5	15	0	27	2	0	0	2	0	9	11	2	13	17	2	1	7	4	14	13	6	2	4	6	39	4	4	19
3-4:het:100kb-1Mb	38	9	1	13	27	18	4	16	14	5	22	8	1	44	6	6	9	19	0	14	1	0	18	42	0	0	9	11	0	6	1	5	37	12	5	6	13	10	11	68	10	0	2	2	1	2	1	0	26	5	2	4	8	61	0	13	17	17	2	14	2	37	7	0	0	0	1	14	15	5	16	1	4	2	14	1	8	23	6	9	4	9	5	6	3	30
3-4:het:1Mb-10Mb	52	17	2	17	13	47	7	18	8	22	35	21	1	43	18	8	8	37	0	5	0	0	14	64	0	0	10	16	1	2	0	9	26	15	9	4	25	8	13	36	3	1	1	8	3	0	0	0	16	5	6	3	13	15	10	1	23	14	11	13	1	22	1	1	2	3	0	26	12	4	5	0	6	7	13	2	35	28	5	7	19	5	36	12	3	28
3-4:het:10Mb-40Mb	22	2	2	17	4	36	8	7	8	22	11	7	1	23	16	24	1	31	1	3	1	0	5	19	0	0	8	10	4	0	2	3	11	15	6	2	18	6	5	16	0	1	1	6	2	3	0	1	2	1	2	4	5	2	15	3	4	1	11	5	1	4	0	0	1	1	0	24	5	0	1	1	5	1	8	9	39	10	2	7	10	0	10	3	2	9
3-4:het:>40Mb	10	16	1	7	1	4	15	0	0	7	0	1	3	9	0	9	1	8	2	6	3	1	4	9	1	1	4	8	16	1	2	0	12	11	2	2	6	3	0	14	1	1	0	1	5	3	1	4	1	1	0	4	0	0	18	3	1	2	2	4	2	3	3	1	5	6	1	8	14	1	0	1	17	2	1	12	4	16	9	9	14	0	0	1	5	4
5-8:het:0-100kb	23	9	0	15	26	55	5	9	6	3	42	6	11	62	8	11	3	13	0	2	0	0	2	33	0	0	4	20	1	2	0	0	41	9	15	2	5	28	4	12	2	0	0	0	0	0	0	0	4	0	0	1	2	49	2	4	13	8	4	5	0	35	4	0	1	0	0	7	12	3	9	0	4	1	0	0	15	20	18	7	11	0	20	0	22	25
5-8:het:100kb-1Mb	34	19	4	14	35	29	13	3	11	5	19	1	9	53	10	5	3	19	0	3	0	0	7	21	0	0	7	9	0	6	0	1	39	14	20	9	5	30	2	13	10	0	0	0	1	0	0	0	7	0	0	0	2	26	1	3	15	15	7	4	0	25	12	0	0	1	0	14	12	5	8	0	10	11	2	0	20	18	15	10	20	0	15	0	24	20
5-8:het:1Mb-10Mb	18	7	0	12	3	13	6	0	0	19	8	0	11	25	11	16	0	23	0	1	0	0	6	10	0	0	1	5	1	0	0	2	19	12	27	4	4	18	0	17	7	0	0	0	1	0	0	0	2	0	0	2	2	4	11	1	8	4	2	14	0	6	0	0	0	0	0	16	17	2	1	0	9	4	7	0	29	25	3	10	18	0	12	0	21	13
5-8:het:10Mb-40Mb	12	4	0	10	0	4	3	0	0	12	2	0	9	3	3	11	0	3	0	0	0	0	1	1	0	0	0	1	2	0	0	0	1	0	19	1	3	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	1	1	0	0	0	0	1	1	0	3	2	1	0	0	1	0	1	0	11	8	3	3	4	0	0	0	1	6
5-8:het:>40Mb	1	0	0	1	0	1	1	0	0	2	0	0	11	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	6	0	1	0	3	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	4	0	0	0	0	1	0	1	1	0	4	0	1	4	0	0	0	4	0
9+:het:0-100kb	23	8	1	5	75	3	2	0	3	2	1	0	16	110	28	2	0	5	0	0	0	0	0	10	0	0	1	2	0	2	0	0	6	0	22	2	0	9	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	1	3	0	4	0	43	10	0	0	1	0	134	4	2	10	0	0	0	0	0	4	5	14	16	6	0	1	0	95	14
9+:het:100kb-1Mb	25	13	0	2	53	1	4	0	1	1	1	0	39	61	21	0	4	2	0	0	0	0	0	5	0	0	2	3	0	0	0	1	6	0	22	6	0	18	0	14	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	1	2	0	1	0	24	16	0	0	0	0	45	3	6	15	0	0	5	0	0	0	8	5	15	9	0	1	0	55	9
9+:het:1Mb-10Mb	0	4	0	0	0	0	1	0	0	2	0	0	16	6	4	6	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	19	2	0	4	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	2	0	0	0	0	1	0	1	1	0	0	1	0	0	0	6	1	6	2	0	1	0	13	0
9+:het:10Mb-40Mb	0	0	0	0	0	0	0	0	0	3	0	0	4	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
9+:het:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
