Mutation Types	01b0848c-ae36-4ade-a3da-d297b003c99f	02e5c36f-5bec-45e2-a048-875653b85ca1	03c3c692-8a86-4843-85ae-e045f0fa6f88	046d7386-95c8-4501-9e55-c85bec272a7a	05070acd-3ec1-44bb-9c32-26d3a483a72a	0554ffe5-31f7-43f5-8372-2b73c9cf3527	079bcb09-a075-4313-9a3e-dd67734a8c5d	0972bfcf-c6c6-48cc-b820-cdfa6279a4f3	09cb8bc5-13ac-44ac-9b7d-6de143373570	0b29c893-03bf-4131-b192-c14a2788d411	0cf9bbc2-cbd5-4b64-8d90-cfa416307b39	0efee3f3-313b-44eb-b3b0-af975a1ded82	0fbd94b1-bb34-4620-841b-861a0b5e0c12	1168944c-5451-4a18-8758-88bf5723bdd9	129459c1-38be-45da-bb87-18848c97c544	12f038e1-00af-4c64-a2e0-9e63323492ef	1327bbd4-a466-4e26-905f-cf91315f1cc8	1447c8cb-25d4-4092-8919-4df08f898d2d	170ad241-9e24-469b-b7ca-3fd783a89b21	183b04f5-107f-496c-8e9a-8263dd00cffa	1a0ef226-41a5-4b56-9078-4b7834f0c976	1ac54c6e-a1e4-4f3b-b4a5-cdb327e0dca6	1c28e44a-6e6c-44ed-b58a-e3262c0e6759	1e181878-c640-4e91-a620-3fc4b08a4de1	20d1b88b-3ff6-4201-a748-6a993500c652	21b1a37f-e91e-4ce1-83cf-bb89b8d0fb35	228fb827-c05e-494c-8a21-e1d925e100cb	241abdfd-e6de-4830-a233-4bbc5f622725	2564a262-03e8-467b-9ea2-f3ab38d75ae1	25c32aca-6738-43ef-a103-243f2f9a3b43	25cf7449-8c5b-403e-aa75-e2af158598e8	28f41a20-b6d6-4ecc-888f-72f779ad9af7	29a00d78-b9bb-4c6b-b142-d5b8bfa63455	2b3837b3-ee29-4a08-848e-1206404da986	2bd9ccca-3fae-4b66-a762-6f30d6276222	2bf5b018-9f19-4fbd-9e1f-7d958aabe5d1	2e43e0ca-54ea-482e-acf2-0048d9187a5c	2fdfb06c-0d2f-4e1d-9756-bcb08a7f90af	31c75873-abb4-4d88-9e2f-07497a6c892d	32fa6457-c8bd-4d26-8106-925baf13df68	33061bf5-9b99-4735-a810-f2d5eeef6873	3933c60d-73d6-4f74-ae02-fd545fc1f092	39c6c3b3-4683-4d11-984c-ed589188da65	39d38c06-3779-4ca4-b103-1d096f93dae8	3b526846-72d6-4e10-b7cd-8cdb45a92a1c	3ed783cf-2248-44a1-a2a2-d6b6519b91ef	3fba4880-cb7b-4ac5-ab5f-728614faa1ea	40378b7a-a65d-4510-aaba-a34c4058fac7	42f00950-09c9-461a-8423-d5b04a96af10	441d2f21-b448-4fc8-8c54-9b85aca56237	4652ae03-b096-42d0-bdfa-3f6281d4f023	46e166fe-3b20-49ad-98db-42c854c61c93	4a88981e-e409-440f-9bf0-71ca1bab8b4e	4aa7eabc-0419-4897-b7af-5dcccfd6ac2f	4c027164-12de-456f-b933-6bc91f70b46f	4c4aa1b1-fda3-4c5b-b588-68aa727500ad	4cbe411b-b05e-46bd-bea8-126289a0866c	51458c86-0fdd-470e-b059-1ffbffc92a7f	5187e77d-f412-4303-8049-11d1aa1a0235	5255d645-d3d2-422e-8449-046cd21f4935	52f43b72-15ea-40a0-a3b4-4bf22bc0bf25	53534b3c-cd15-4d68-a9b1-6902bb234c45	54195db3-94a9-4538-8bb8-9953d936acd4	541f91bd-7e9d-4348-9e78-45b948d8967e	5650dc4e-8bce-4716-9199-cd5750d7a888	5b41e033-6df8-411e-a13b-59eeb8afbf9b	5d9ff58c-5702-48fc-a66a-d1276327fd49	5f94cb62-4019-47ff-bf6a-eeda8e9e033c	60aff7a0-4960-4ed1-922b-3233ccbfdba1	60c33e32-7e19-4e71-b075-a63fcf27e660	6297aa77-37a0-4f46-987b-32bd8653c0c2	631ab9d0-5400-400c-b0bc-c3e576bcfe06	644c669b-937b-4adc-81b9-6a1811cba9da	654dba9f-cfe5-4121-97c7-868613cdef53	65d2dbc3-a163-4696-b246-47a430e66572	6867811f-ac89-47da-b5dc-1270033c36e7	68ba1105-569a-4209-9b45-0e2d64931806	6b20f942-7b89-497c-8a2e-ccce74d20ca9	6bdf00f6-670f-466e-87fb-e853e41f000e	6fc0cb07-9713-4355-8543-f85d1c5505c2	70dd8453-11d3-4105-a8d0-6a755c52495d	71ef8379-03a0-4b81-92c9-1ba666fe4d7a	7266ec7b-4824-4b88-910e-e9bfb848d55f	72a5e569-99d4-47bc-be1b-6296a5025080	72f82fbd-9838-4082-b605-bc3d80226f16	7410c00d-ed0b-48dc-a4bf-eb76ac613980	75cd90ef-e884-4812-bbf3-5a524d95147e	75fac59c-3346-4c5a-bb9f-fb67fec8d13b	78100212-65aa-4365-8b64-4b33f77732d5	78103d9b-0b8a-431e-bb58-5c99fbea12e4	7b318282-5df4-42bc-b1e0-0e4a66ba9204	7c43c006-d917-4915-b304-65995b6c0d46	7cb71498-6ada-43c6-912b-bad4f93cf580	7ccb9a4d-6f48-41c2-a630-27fde8c67d60	7ccee959-1e87-4a39-b6b3-840ddcb94995	7d04f401-3505-410c-8def-0348ecd8aae2	7ef9fd9b-d349-4ec3-ab4d-1a1d11c0204b	7f5fd36f-6e30-45ca-92a5-d8a8a8ee1bc2	81bc7f0c-865d-4801-a935-2ab04170df53	8282283d-247a-431d-9421-0fcc52f0a897	8454fe53-869d-41c8-b0c8-a7929d00eec3	88bc38ba-ad1d-431e-a67e-0a5a23678386	89195d56-1ef2-41df-b200-9f18e38f574a	8be6b14d-286a-471b-a282-ab98bc6050c3	8d67c121-37d0-4fc0-a349-2c9452589d65	9011cf17-0783-4f9d-b355-4f0fc1a2e78b	9078333d-73d3-496a-9fc3-a94353b7e107	90b3c237-29a4-48b3-90b3-9f2c0ccb5928	94652d14-2e4d-4f4a-a4f7-8df77df788c0	95cc9620-7686-4805-a96c-cf8e659847c3	96ba50eb-3c12-41ad-ac7b-d23b2001fe44	97c46ede-b280-4344-8dbb-e860c6472239	9c399826-087f-44b9-98c0-bd881646b0f4	9c857452-c81d-4b9e-87a8-5b41f4394f7c	9df57388-7de1-4c90-910e-ef63a246dff1	9ffe694e-b488-489e-bdbe-0800e505eec4	a2238b5f-0513-487a-9b1b-7bef85ebf336	a3210fd0-344c-468e-8ff2-2d0869a2fb75	a3edc9cc-f54a-4459-a5d0-097879c811e5	a492a32b-bf2f-4f8c-b06e-794a4baa2fe7	a5d5c238-0447-47fa-9a81-3b823cbdcea6	a6ebe0c0-8aab-4b9f-8328-4b795895a77d	aa4a868a-df23-4eef-a618-e945aa2ce98a	af9cfac8-7fbe-49cb-aeca-8d68aea57994	b37d6283-6f95-4975-a794-f3d5c4bbc7b3	b47aa163-eec9-4225-940b-4373e78152e2	b54b9433-ec10-4cb5-a860-4555da64917b	b5cabba2-30a4-458e-897c-00ec3fefa6d2	b7008a98-5aa0-4cc9-9bee-af2a422266db	b710b214-5666-4054-97ef-3b9ac2bd90ac	b80ca528-2c5f-400c-8df3-9c47869a64c2	bb8176a7-ea7c-42d7-a85a-cec1ca386f2e	bbdd7393-024b-4073-b5bc-ef7a68c15b8a	bbff7954-95ec-455c-b0bc-92f67a09ee77	bc395326-1656-4ef2-bb19-0cb29194b91c	c13fb736-614c-4d5f-83bf-2d7586f4fb53	c3679262-63d7-463e-9501-6ab3f177aee8	c741fb12-8160-43a7-bc70-2c545ea0031d	c9e7c629-7b57-4ede-b315-0cea8c97c48e	ca284012-bd06-47a3-8a9d-c6b185d87d85	cafe9603-a804-48fb-9217-e2d1c3c346c5	cba4de91-cce7-4edc-8450-d0a52c959586	cc7af465-22ed-485d-a78c-282b840bf7c9	cfe0bf13-2ff4-4164-9b6a-cd3615bf3ddc	d05ea63c-86a3-463a-a790-2edaa74b4da7	d333b55b-8bac-4a99-9d23-3cc0c25057bf	d5796835-d6cd-427e-a398-5fbef88b0648	d91f487e-0895-44ef-aeb1-a62bd576f8b0	da1ed4b9-f428-48aa-834d-1d9673999044	db2a1df8-487d-4dad-a347-5c5ed539d5ad	dd4fdb6a-8067-4b64-ab74-bbb0fec34ca9	ded2689b-8e37-480c-b37c-acc538e54ddf	e0aa815f-668a-4de9-bb32-3f215bb7f843	e1df938f-1f23-4291-98ef-13db6debb796	e4c8c7f0-5bac-4d59-91c4-c98207150548	e5193d7e-e8b7-4098-bf98-8b3a62781d13	e7048a93-a1ed-4cdc-a1ab-fa507408ca77	e7603fc8-9b73-4c17-86f9-46ca1bceeb1d	e97ea3d7-9fcd-4df1-9ea8-587cb3be75ec	ec646623-6d33-4fbd-888e-89f55d82eb11	ec77847e-48fd-4ba5-bc3e-3cd1b149b552	ecfe388a-99f5-44b9-9226-a6ae6d892538	ee5d5e7d-78cf-4a29-a9ee-56aa3da877dd	ee8ba991-8c96-476e-b096-49f3aaaffc2f	ef002c3d-358f-4fc0-98f3-2f8b89de4374	ef3a0ccd-85bc-4e5f-a8c6-5a2e2d9e6717	efacd7d6-56cf-4f6a-87f0-1a7ab6b1a643	efc39172-083c-4297-b922-3f58df781332	f4ada7a2-c4ac-4f89-ada7-4645861002cb	f7702c0c-9636-4700-a8ae-7a58afd9fa71	fe96d91c-3686-4125-af71-b8703a011ad4	ffe4bb51-e98a-41a7-a4e1-c3970386889c
0:homdel:0-100kb	3	0	3	1	2	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	4	3	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	2	1	0	0	1	0	0	4	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	3	1	0	0	1	0	2	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	2	0	1	0	0	1	0	0	1	0	3	1	0	0	1	0	0	0	0	1
0:homdel:100kb-1Mb	1	0	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	1	1	0	3	2	0	0	0	1	7	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	2	1	0	2	0	0	0	2	0	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	3	0	1	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	2	0	0	0	0	1	2	0	0	1	0	0	0	1	1	0	0	0	0	3	1	0	2	0	0	1	2	0	0	0	0	0	1	1	0	1	3	0	0	0	0	0	0	1	0	1
0:homdel:>1Mb	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	4	0	0	0	1	0	0	0	0	0	1	0	0	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0
1:LOH:0-100kb	5	1	6	8	1	0	1	7	1	0	0	2	2	4	3	3	0	0	1	3	1	0	7	14	1	0	0	8	0	3	2	2	3	4	3	8	2	0	5	4	1	1	13	2	5	0	1	1	5	0	0	0	0	4	1	2	4	1	2	3	0	2	12	0	0	1	2	2	2	1	0	0	1	1	0	1	1	2	0	4	0	1	0	1	0	1	2	1	1	2	0	0	8	3	6	0	1	2	2	5	9	0	2	0	2	0	1	5	1	0	3	2	0	0	0	0	1	0	2	0	4	0	3	3	0	0	1	0	10	1	1	0	14	0	0	1	0	1	0	8	4	1	0	2	3	0	1	5	0	1	0	13	3	0	7	3	1	0	3	2	1	3	7	3	3	2	2	1	7	2	1	4
1:LOH:100kb-1Mb	5	1	3	29	5	0	1	2	0	0	0	1	1	1	4	4	0	0	6	4	2	9	30	1	0	0	1	2	0	7	15	2	4	4	5	14	6	0	0	0	1	2	20	8	3	0	0	0	8	2	1	14	2	2	4	2	23	2	0	6	2	4	9	2	0	0	1	2	7	5	1	2	2	2	3	4	4	1	1	0	0	2	4	0	0	1	2	2	1	0	2	0	1	2	0	1	2	3	4	5	1	2	0	4	2	1	17	6	7	0	4	3	2	0	3	1	1	2	2	1	2	0	11	3	1	4	8	0	11	0	2	2	6	1	0	0	0	2	0	10	4	0	4	0	5	0	0	4	6	2	0	25	8	0	0	2	4	3	7	2	5	0	5	7	3	8	2	3	1	1	0	4
1:LOH:1Mb-10Mb	4	2	1	26	11	1	0	1	0	0	0	7	0	5	10	6	0	0	3	4	2	6	8	5	0	3	3	0	0	0	17	7	7	5	6	2	4	0	2	1	3	3	15	12	12	4	1	1	5	6	1	3	1	7	1	3	19	6	3	3	3	8	24	0	0	0	0	5	12	3	1	4	2	2	2	4	9	4	0	5	0	3	5	1	0	9	4	3	2	0	2	0	5	4	4	0	0	1	8	11	1	7	0	1	3	1	9	8	10	0	2	0	5	0	2	4	0	3	3	0	9	0	9	0	2	2	7	0	7	1	1	6	10	0	0	0	3	1	0	6	1	0	5	1	8	0	1	4	6	4	0	4	4	0	4	0	10	7	4	9	7	0	4	3	0	8	3	0	0	2	1	9
1:LOH:10Mb-40Mb	2	4	0	11	5	0	0	3	0	0	0	3	0	8	5	1	0	2	0	3	0	7	7	9	0	0	4	4	0	0	10	3	7	2	6	3	2	0	1	0	3	0	7	5	9	5	0	0	0	3	0	4	4	5	3	2	9	5	5	1	2	9	16	1	0	0	0	8	10	8	3	7	4	0	5	7	7	5	1	2	0	4	7	1	0	8	5	13	7	0	9	0	9	0	8	0	5	9	8	11	0	9	0	7	7	6	3	8	6	0	1	0	3	0	6	5	0	6	2	1	1	0	7	1	7	5	3	0	2	11	3	6	15	0	0	0	1	0	1	10	0	2	5	0	7	0	3	10	3	5	0	4	8	0	9	0	5	8	0	1	9	0	9	3	0	4	6	3	7	5	1	2
1:LOH:>40Mb	1	3	0	6	4	0	1	1	0	0	1	6	0	1	2	1	0	7	0	1	1	3	1	2	0	0	2	6	0	0	1	6	2	0	2	0	0	0	1	1	5	0	2	3	6	4	1	2	0	1	1	6	6	0	3	3	3	5	2	4	3	6	1	0	0	0	0	1	2	3	3	3	5	0	1	3	2	2	0	1	0	2	4	1	1	6	2	8	3	0	4	0	8	2	3	0	6	3	6	5	1	2	0	3	4	2	4	7	7	0	0	0	1	0	5	5	0	2	3	0	2	0	4	0	4	7	0	1	2	3	3	3	2	0	0	0	1	3	0	2	0	5	2	0	4	0	2	5	0	2	0	0	1	1	2	1	4	1	0	4	5	0	3	1	0	3	3	3	1	2	0	7
2:LOH:0-100kb	8	1	10	0	0	0	1	1	4	0	0	1	0	0	1	4	0	0	1	1	1	1	1	2	1	2	0	1	2	1	0	0	2	4	1	7	2	3	5	1	0	3	3	0	4	0	0	1	8	1	1	0	0	7	0	0	0	2	1	2	0	6	12	0	0	2	3	2	2	0	1	0	0	1	0	0	0	0	0	0	4	0	1	0	2	2	0	2	0	5	0	1	0	3	0	0	0	1	2	2	2	0	3	1	0	0	0	0	2	1	3	1	0	1	0	2	1	0	1	0	0	0	1	2	0	0	2	0	8	0	0	1	1	2	0	2	1	0	0	2	1	1	0	2	1	1	0	6	1	0	0	0	0	0	1	2	1	1	3	0	0	3	0	5	0	0	0	0	0	0	15	0
2:LOH:100kb-1Mb	7	0	5	0	0	1	2	2	5	0	0	0	4	0	0	1	0	0	8	2	0	0	2	0	1	7	0	0	7	4	0	0	1	3	0	9	3	2	9	10	0	11	2	0	0	0	1	1	12	3	4	0	1	11	0	0	0	0	0	3	0	0	5	1	1	3	5	0	1	1	0	1	0	5	0	1	1	0	0	3	9	1	0	0	1	5	2	1	1	1	1	2	0	0	2	8	0	0	1	0	4	0	6	1	0	1	2	0	0	0	6	2	0	7	0	0	6	0	0	1	2	1	1	2	0	0	17	0	4	8	0	0	2	5	0	13	0	1	0	1	1	0	0	0	1	3	0	4	15	0	0	0	0	2	1	3	1	0	18	0	1	0	0	5	1	2	1	0	0	0	5	2
2:LOH:1Mb-10Mb	6	0	7	1	0	0	3	4	2	0	0	1	1	1	0	3	0	0	7	3	1	4	1	1	0	2	1	0	13	1	0	0	2	3	1	12	6	6	13	5	0	15	2	0	1	1	0	4	10	1	4	0	0	19	0	0	0	2	3	1	0	3	6	2	1	1	18	3	2	1	1	0	0	1	0	1	0	0	1	4	12	0	0	1	3	5	0	0	3	9	1	0	2	3	2	3	1	0	0	0	9	0	6	0	0	0	3	0	0	0	6	1	2	6	1	1	8	0	1	2	4	1	0	6	0	0	11	0	6	0	0	1	7	9	0	11	0	0	2	1	3	0	0	1	2	5	0	1	16	0	0	0	0	4	1	0	0	1	21	0	0	6	0	2	8	10	2	1	1	0	9	2
2:LOH:10Mb-40Mb	11	0	5	0	0	2	4	5	6	0	1	1	1	7	2	6	0	0	9	5	4	1	0	0	7	6	1	1	6	5	0	1	1	4	0	13	5	1	7	3	1	4	1	0	4	4	1	7	5	0	3	1	0	17	0	0	0	1	1	3	0	5	6	5	7	6	15	0	0	0	0	0	0	2	0	0	1	3	7	5	7	0	0	1	7	3	1	1	1	5	0	2	2	0	0	3	0	4	2	2	12	1	8	1	1	0	2	0	0	0	7	6	3	8	0	0	5	0	1	6	3	4	2	7	1	0	7	2	7	0	1	0	4	6	0	11	1	0	8	1	5	0	0	3	1	7	0	2	11	1	1	0	0	2	8	6	1	1	10	0	0	6	1	3	9	2	0	0	0	0	6	0
2:LOH:>40Mb	4	0	3	0	0	5	1	2	1	0	2	3	1	1	1	6	0	0	6	6	3	1	0	0	21	4	2	0	3	0	0	2	1	2	1	3	3	5	7	1	0	7	0	0	4	2	1	4	2	0	2	0	0	10	0	0	0	0	1	0	1	2	1	17	5	1	6	1	1	1	0	1	0	4	0	1	0	1	1	4	5	0	0	1	5	1	1	0	1	4	2	3	1	0	0	1	2	1	1	0	5	1	3	0	0	0	1	0	0	1	4	2	2	4	1	0	3	0	0	2	4	3	1	3	0	0	2	1	5	0	0	0	1	10	0	1	0	0	2	2	1	0	1	0	0	6	0	0	5	0	2	0	0	2	0	2	0	0	3	0	1	2	0	2	4	0	0	0	1	0	1	1
