gene	freq_Classic	freq_HM	freq_WGD	OR_Classic vs HM	OR_Classic vs WGD	OR_HM vs WGD	q_Classic vs HM	q_Classic vs WGD	q_HM vs WGD
STAG1	0.0320754716981132	0.239583333333333	0.368038740920097	6.75009800714978	44.2165968051316	4.080121617662	0.000231587135788514	4.88142842818563e-49	1.52625401759863e-05
KIF2A	0.0320754716981132	0.125	0.198547215496368	6.60683795569593	11.6641787684707	2.99973830178588	0.00222879363327996	1.79203809316911e-18	0.00628162648070937
BRCA1	0.00377358490566038	0.0833333333333333	0.0121065375302663	17.8051641574299	1.31849876770359	0.0958005771031855	0.00242759939599023	0.754413617417738	0.0022882007070721
KIF18A	0.00566037735849057	0.0625	0.099273607748184	19.5762042116632	27.0320941698605	2.32130730459006	0.00242759939599023	4.38091039606201e-12	0.112615944619986
PDS5B	0.0132075471698113	0.104166666666667	0.121065375302663	9.37639713738577	12.8275242841746	1.16596760972686	0.00242759939599023	7.11539768143127e-12	0.805330664958763
PTEN	0.0566037735849057	0.0416666666666667	0.026634382566586	0.302985667067579	0.275731432289588	0.844567033088534	0.140668217881101	0.000995212541179177	0.836242668278475
BUB1	0.00377358490566038	0.0208333333333333	0.0532687651331719	12.5445972332214	23.2459013005181	3.56091140965685	0.207183533503321	5.28818805886806e-07	0.112615944619986
KIF11	0.00188679245283019	0.0104166666666667	0.0677966101694915	21.5854888778116	26.5702823950836	9.28136798841534	0.207183533503321	5.28818805886806e-07	0.0121330204197214
USP44	0.00377358490566038	0.0208333333333333	0.0605326876513317	8.11512665586655	16.7401149648453	3.77734247525693	0.246696341227869	1.80799224616056e-06	0.108391662626935
MXD1	0.00377358490566038	0.0208333333333333	0.0556900726392252	5.33684961248384	24.1642069665603	2.96980059115464	0.346915611716522	8.41713403742559e-08	0.170894260314445
ARID1A	0.130188679245283	0.125	0.101694915254237	1.76830546532442	0.838198311949115	0.680887070888837	0.359303084161964	0.492288242482972	0.475612257323232
BUB1B	0.00377358490566038	0.0104166666666667	0.0895883777239709	5.50000000000001	22.6716421286609	18.7533309129219	0.431394163113549	1.46383495656894e-08	0.000252329336880657
CTNNB1	0.0792452830188679	0.0520833333333333	0.0411622276029056	0.537289672346236	0.849207653496972	1.26450114870378	0.431394163113549	0.672065815377543	0.805330664958763
TUBGCP2	0.00754716981132075	0.0208333333333333	0.0677966101694915	4.66167255005223	14.6464168337235	3.67024737970827	0.431394163113549	2.7073312448592e-07	0.110439911517848
WAPAL	0.00943396226415094	0.0104166666666667	0.0799031476997579	4.67479618081794	12.0096973498296	8.98664138526516	0.431394163113549	4.3435309088919e-08	0.0121330204197214
FANCD2	0.00943396226415094	0.03125	0.0920096852300242	2.47873317668206	14.6131245853751	3.92122491677244	0.450354226317651	5.95787290313461e-09	0.0402723883934112
CDKN2A	0.175471698113208	0.125	0.174334140435835	0.73986225166868	0.830472031826613	0.930484321893166	0.664569222773843	0.466859491968048	0.858945763229062
KMT2D	0.060377358490566	0.0208333333333333	0.00968523002421308	0.613890829977263	0.479901655244296	0.430441190424042	0.699895884765786	0.235178482430861	0.520485288128295
PDS5A	0.00754716981132075	0.0208333333333333	0.13317191283293	1.69261167529753	26.8973011075769	10.758353607215	0.699895884765786	4.88669904899449e-15	0.000191565283442402
RB1	0.0377358490566038	0.0520833333333333	0.0702179176755448	1.37187564749562	1.76936312470987	1.55136818992719	0.699895884765786	0.114211976298766	0.520485288128295
TP53	0.313207547169811	0.354166666666667	0.411622276029056	1.12372772674368	1.3428211724973	1.09647611601124	0.790913674798781	0.127815555440015	0.836242668278475
SMAD4	0.10188679245283	0.0729166666666667	0.0677966101694915	0.868710740766454	0.470422014824673	0.330634209352066	0.857531792118213	0.0131304111800109	0.112615944619986
KRAS	0.139622641509434	0.0520833333333333	0.0944309927360775	0.972400731575989	0.412159798457029	0.247426084272548	0.970367206877059	0.00516201700926343	0.161557378485425
