Mutation Types	04aa6b77-8074-480c-872e-a1a47afa5314	04c09376-8756-41d9-bbca-f464170a8cfb	08b5d0e4-4661-460e-a9f7-f2e687414711	0ab4d782-9a50-48b9-96e4-6ce42b2ea034	0dd0718d-5ddf-4c59-8c47-0f51303daeb5	10bb1a92-901e-4a14-80f4-5e88f997754b	13c62975-9f5e-4d40-a461-dceab08a31ec	142b6dbf-c943-4a7d-8ab6-13a975f48d7a	14630c19-9ee0-4ab3-9d8b-8c3309d1e7d0	16d5519e-ecb9-4fc8-81f1-e0e4adf722a8	1ac15380-04a2-42dd-8ade-28556a570e80	1cd0acf2-3116-4dfa-a063-0a435b9f6da3	1d4a091d-fe65-49c0-8810-5a95243b108a	1daefc49-5248-4948-87ce-0ec19a248ef9	20e02396-e676-412d-9724-44a428919cdb	22d67778-61fc-4f15-95b8-7e7c6cc7112b	22edd867-dcd6-42b5-92bb-025ceb84b106	25103371-28ac-4f43-b0e2-2d376d0dcb84	25e20393-752b-4796-9001-0e22ee04c586	2790b964-63e3-49aa-bf8c-9a00d3448c25	28839c75-90a8-493f-b658-8c63e0ebd324	2e76891c-b620-4cc0-9315-6f1217b09b1e	30600994-c1ec-44c9-a620-3f6c617eb928	351db483-a70e-496d-b70a-7449875121ee	35a74e53-16ff-4764-8397-6a9b02dfe733	3869ff3f-21b9-4817-8ff4-83c6fc75ab11	39c476fd-273b-4136-874c-53352f1be008	41a7b031-d928-4a1f-891b-82fb3f6d548f	4e8396f7-9506-4401-96b6-bb2e89557d59	51893d3f-e7f3-43f9-9fd0-c0f25ae96804	524bbd14-1e1f-479b-9a71-d27fce32d8bc	54a77010-2f16-4da9-8ca0-746a51801a00	561fd34c-7c7d-4df0-bbfc-3d31147ca562	56ddcb96-e90b-4fce-aa4c-c677bbfee488	58d3e932-b4a3-4cac-a6ac-73160e354a15	6507e084-c038-4ba6-a431-fb9a53190d5f	681e2301-2057-40e4-ab63-934775d63faa	6c884037-49f9-41c3-b0e5-9cbcd545aeb7	7117854b-6f0a-4a43-b66c-506a3e29377d	74e5905f-6350-498a-9454-9ea0593d2f56	75ba6722-1148-4a52-a9ed-68d890238205	7e22401d-f4cd-44c5-8a01-b08a439e5a31	7edc42d3-d08e-4360-a3e1-aeb57cfc6640	7f031d71-3cb7-4744-86bd-a3beecfe166e	88f2c496-3eb4-4c03-b3a5-8d5a55803aaf	897ba508-d74b-46bf-8554-1210a66a36d1	8ca665f8-fe78-48bf-8c0f-c606d92885d4	8ea666b7-2b6e-4df8-9a9d-b8265b9749b4	9e0009d1-c993-4247-9706-88ee84591dec	9fc5b5c7-3973-42b4-8710-454de0cb5b50	a6e24c2a-26b9-409c-bbcd-a8fcdd1e437c	a84915de-6562-4836-86f9-f2a05598296e	b07bad52-d44c-4b27-900a-960985bfadec	b35d9a68-29f4-49ab-b83e-b5151679e3af	b3befa40-8f44-4eb6-ada0-ec395f460656	b42d183c-bc9c-4652-9e56-10c54c5ee96e	bcefbf6a-80ff-4825-9d3a-492e2dceb35d	bcf76f1a-7109-422d-94c9-5e8364895fa0	c21a5d55-9790-429f-a4e6-420293c07b53	c95a2b1b-726c-4608-9fff-d57b6f1aa75a	ca004926-f3ac-4824-8ed5-d84e62efdfae	ca8fa9f5-3190-440d-9879-22e33d05ca6c	d2620dab-4319-499a-b8f1-9575aaf8f4f3	deb9fbb6-656b-41ce-8299-554efc2379bd	e04bcdff-3206-4c25-bae9-09f0222b074a	e2b2357c-da6f-4ca3-9c07-a22f0423e8fe	ead1bc2e-42c3-46d9-8f6f-8cb16ba9d2c3	eb9a8f12-6451-43cc-95b3-2e86cf704c96	eeddf701-93f9-4f10-85cb-9dce1760bae8	f07b9192-c86f-4ee4-a3b5-feb9c5098bf4	f24688a9-7952-49d8-ba80-2bbad472379c	f81693ba-09ee-4201-a389-0ceeda8a4636	fa4d35e3-fc38-4e26-a9e0-521a648acec1	fc009c3d-66fc-4b9c-ae43-014607e3723a	fc249113-83d4-4abe-8c80-a4f7305dcd91
2:LOH:>40Mb	2	4	6	0	5	2	0	2	2	4	0	5	5	4	4	0	4	5	1	1	2	6	2	0	0	0	0	7	3	0	7	7	0	2	6	0	2	3	1	0	10	3	6	6	2	4	7	2	4	3	2	2	0	0	4	0	1	0	3	3	7	0	0	1	2	0	2	2	0	2	0	2	0	0	10
3-4:LOH:0-100kb	0	4	0	1	0	0	0	3	4	0	0	8	1	4	6	0	4	1	0	0	0	4	2	0	0	1	0	6	1	14	17	12	0	3	2	0	0	2	0	7	6	3	9	0	2	1	4	7	0	1	0	1	0	30	5	0	9	20	1	0	10	0	0	0	4	0	4	4	0	0	0	0	0	0	4
3-4:LOH:100kb-1Mb	1	8	0	1	0	1	0	1	2	0	3	7	0	2	3	0	2	1	1	0	2	12	3	0	1	0	0	12	2	20	14	9	0	0	0	0	0	2	0	3	5	1	10	0	2	0	1	2	0	0	0	2	0	16	2	0	2	40	0	1	8	0	2	2	2	0	6	5	1	0	0	0	0	0	0
3-4:LOH:1Mb-10Mb	2	5	0	0	0	0	0	0	4	1	1	15	0	0	2	1	4	0	0	1	0	9	1	0	0	1	0	17	1	18	7	6	0	0	0	0	0	0	0	1	1	0	11	0	0	1	0	0	3	0	0	1	0	31	3	0	2	72	0	0	5	0	0	3	0	0	0	7	0	0	0	0	0	0	0
3-4:LOH:10Mb-40Mb	1	0	0	2	0	0	0	0	3	0	1	7	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	5	0	4	3	5	0	0	4	0	0	4	0	0	0	0	2	0	1	0	0	3	0	0	0	3	0	3	6	0	0	5	0	0	2	0	0	2	3	0	0	3	0	0	0	0	0	0	0
3-4:LOH:>40Mb	1	2	0	1	0	1	0	0	4	1	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	1	0	2	0	3	0	2	0	0	2	0	0	2	0	0	0	2	1	2	0	0	0	1	0	0	0	5	0	0	3	2	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0
5-8:LOH:0-100kb	1	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	2	0	0	3	0	0	3	0	0	0	0	0	3	0	0	1	1	0	0	0	0	3	0	0	0	0	20	3	0	0	27	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0
5-8:LOH:100kb-1Mb	2	2	1	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	18	3	1	0	26	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5-8:LOH:1Mb-10Mb	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	6	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2
5-8:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:>40Mb	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:0-100kb	1	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	4	0	0	0	0	0	1	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	28	0	0	0	0	3	2	0	0	6	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0
9+:LOH:100kb-1Mb	0	1	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	1	0	0	10	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0
9+:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
9+:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:het:0-100kb	0	9	0	0	2	0	0	0	2	1	16	1	0	0	2	0	4	0	0	0	14	0	1	13	1	2	3	4	0	1	1	0	0	3	2	0	1	0	10	3	1	0	12	0	5	1	0	2	5	0	6	0	5	6	0	0	0	4	0	3	5	0	1	3	4	6	1	3	0	0	0	0	1	0	2
2:het:100kb-1Mb	0	2	0	2	2	2	1	2	3	2	28	1	1	0	1	0	3	1	1	1	7	0	2	26	6	0	1	15	4	1	4	0	0	2	4	0	0	0	12	4	0	2	12	8	4	2	0	0	6	0	1	0	1	15	0	3	0	14	0	7	7	0	2	4	4	7	1	3	0	2	1	2	1	1	0
2:het:1Mb-10Mb	0	1	0	7	0	1	4	0	0	4	27	0	2	0	2	0	3	1	1	5	10	1	0	14	17	0	3	8	3	1	3	0	6	0	1	4	1	2	9	2	4	4	4	4	25	3	0	0	8	0	1	0	0	55	0	0	0	12	0	10	11	2	4	9	5	13	3	2	5	0	2	1	1	2	0
2:het:10Mb-40Mb	2	1	0	6	1	1	8	4	4	2	34	1	0	0	1	5	2	0	7	2	15	0	3	10	18	3	2	6	0	0	0	0	7	4	0	4	6	1	6	0	1	3	9	4	10	4	0	0	4	0	0	0	0	29	0	1	0	3	1	10	3	5	10	21	2	10	0	2	12	0	6	14	6	8	0
2:het:>40Mb	2	3	0	18	0	12	16	11	1	1	14	0	0	0	0	21	2	0	15	16	16	2	12	22	13	4	14	2	0	0	1	0	19	2	2	19	18	4	12	0	1	2	2	4	14	5	0	0	3	0	6	0	2	1	0	1	0	1	2	15	0	15	13	21	0	15	0	1	14	0	18	16	21	15	0
3-4:het:0-100kb	4	4	6	1	3	4	1	0	12	0	74	12	1	6	12	1	19	5	1	1	12	1	0	40	16	2	2	30	17	9	15	16	8	58	10	1	2	6	2	17	6	4	29	1	17	11	3	8	24	3	10	7	3	88	4	4	5	42	0	11	43	1	1	4	24	3	15	13	1	2	1	6	3	1	30
3-4:het:100kb-1Mb	3	8	8	2	9	9	6	1	15	24	58	43	7	5	17	0	19	6	3	1	13	5	0	43	25	2	2	64	36	27	29	15	0	77	19	0	2	1	0	26	14	4	16	7	8	8	9	21	29	6	6	3	1	62	6	1	10	126	1	10	62	0	4	5	24	4	13	38	5	5	3	5	1	0	38
3-4:het:1Mb-10Mb	1	16	4	1	3	9	7	4	14	28	12	48	14	8	36	0	22	5	0	0	14	3	0	9	11	2	0	27	55	18	37	16	4	32	7	0	2	4	4	24	25	7	14	33	1	4	8	20	36	6	0	6	0	81	1	1	23	126	2	2	71	0	3	2	33	2	6	30	2	11	0	3	1	0	28
3-4:het:10Mb-40Mb	6	11	4	3	10	3	3	8	9	26	2	31	8	10	23	2	14	11	2	3	4	7	3	1	1	3	0	13	33	17	16	11	0	11	4	0	1	6	12	19	13	5	6	20	2	13	14	19	9	1	2	12	0	17	7	11	23	11	2	0	35	0	3	1	32	9	9	29	0	5	1	0	3	0	11
3-4:het:>40Mb	4	18	18	2	15	2	3	3	6	14	0	11	14	17	8	4	16	12	3	3	1	13	3	1	0	6	2	5	21	12	10	3	0	10	9	2	2	10	5	12	16	19	3	10	0	12	16	18	4	17	2	10	1	0	6	16	17	3	17	0	1	1	3	1	10	5	9	13	0	8	2	1	2	1	9
5-8:het:0-100kb	2	1	3	0	1	0	1	0	20	2	41	39	3	5	19	0	7	4	0	0	0	0	0	22	16	0	0	32	9	108	32	11	0	42	21	0	0	5	0	57	4	2	29	1	0	3	3	10	36	1	8	14	0	93	7	1	7	110	3	2	39	0	0	0	16	1	35	24	0	6	0	3	1	0	47
5-8:het:100kb-1Mb	2	1	1	0	0	1	3	0	7	12	16	80	2	7	32	0	32	6	0	0	0	1	0	19	22	0	0	83	22	61	32	11	0	56	16	0	3	1	0	47	6	0	28	2	0	4	5	31	51	5	5	4	0	76	15	0	6	212	1	0	36	0	0	0	26	4	20	25	0	5	0	8	0	0	26
5-8:het:1Mb-10Mb	1	0	1	0	0	3	2	1	11	6	0	47	0	4	29	0	25	3	0	0	1	5	0	1	12	0	0	32	14	18	10	8	0	15	19	0	0	7	0	14	6	1	15	9	0	1	12	14	24	3	0	7	0	32	9	3	9	164	0	0	16	0	0	0	22	1	11	14	0	5	0	4	0	0	9
5-8:het:10Mb-40Mb	0	0	1	0	0	0	0	1	8	7	0	22	3	5	2	2	3	1	0	0	0	0	0	0	2	0	0	4	8	1	3	5	0	0	6	0	0	1	0	1	0	2	0	3	0	1	2	3	1	0	0	18	0	3	1	3	6	6	1	0	8	0	0	0	14	0	3	3	0	1	0	0	0	0	2
5-8:het:>40Mb	0	0	1	0	0	0	0	0	2	0	0	1	1	2	1	0	1	5	0	0	0	2	0	0	0	0	1	1	1	5	3	0	0	0	2	0	0	6	0	2	1	1	0	3	0	0	2	0	0	0	0	7	0	0	1	5	3	0	0	0	0	0	0	0	3	0	1	3	0	5	0	0	0	0	0
9+:het:0-100kb	0	0	0	0	35	0	0	0	23	6	131	92	0	0	24	0	0	12	0	0	0	0	0	130	20	0	0	8	1	40	1	3	0	37	47	1	0	0	0	12	0	0	18	0	0	10	0	0	32	0	0	10	0	15	2	0	0	58	0	2	16	0	0	0	1	0	35	1	0	5	0	1	0	0	5
9+:het:100kb-1Mb	0	0	0	0	38	0	0	0	11	9	17	59	0	1	33	0	1	10	0	0	0	0	0	41	21	0	0	20	1	4	3	3	0	47	35	4	0	0	0	4	0	0	19	0	0	15	0	0	40	0	0	1	0	3	6	0	0	63	0	3	5	0	0	0	4	0	38	1	0	3	0	0	0	0	5
9+:het:1Mb-10Mb	0	0	0	0	0	0	0	0	7	2	0	3	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	9	1	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	1	2	0	0	11	0	1	0	0	0	0	3	0	3	0	0	0	0	0	0	0	1
9+:het:10Mb-40Mb	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0
9+:het:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
