1,5,0.4,40,2e-07
2,5,0.4,40,2e-07
3,5,0.4,40,2e-07
4,5,0.4,40,2e-07
5,5,0.4,40,2e-07
1,20,0.4,40,2e-07
2,20,0.4,40,2e-07
3,20,0.4,40,2e-07
4,20,0.4,40,2e-07
5,20,0.4,40,2e-07
1,40,0.4,40,2e-07
2,40,0.4,40,2e-07
3,40,0.4,40,2e-07
4,40,0.4,40,2e-07
5,40,0.4,40,2e-07
1,5,0.8,40,2e-07
2,5,0.8,40,2e-07
3,5,0.8,40,2e-07
4,5,0.8,40,2e-07
5,5,0.8,40,2e-07
1,20,0.8,40,2e-07
2,20,0.8,40,2e-07
3,20,0.8,40,2e-07
4,20,0.8,40,2e-07
5,20,0.8,40,2e-07
1,40,0.8,40,2e-07
2,40,0.8,40,2e-07
3,40,0.8,40,2e-07
4,40,0.8,40,2e-07
5,40,0.8,40,2e-07
1,5,0.4,80,2e-07
2,5,0.4,80,2e-07
3,5,0.4,80,2e-07
4,5,0.4,80,2e-07
5,5,0.4,80,2e-07
1,20,0.4,80,2e-07
2,20,0.4,80,2e-07
3,20,0.4,80,2e-07
4,20,0.4,80,2e-07
5,20,0.4,80,2e-07
1,40,0.4,80,2e-07
2,40,0.4,80,2e-07
3,40,0.4,80,2e-07
4,40,0.4,80,2e-07
5,40,0.4,80,2e-07
1,5,0.8,80,2e-07
2,5,0.8,80,2e-07
3,5,0.8,80,2e-07
4,5,0.8,80,2e-07
5,5,0.8,80,2e-07
1,20,0.8,80,2e-07
2,20,0.8,80,2e-07
3,20,0.8,80,2e-07
4,20,0.8,80,2e-07
5,20,0.8,80,2e-07
1,40,0.8,80,2e-07
2,40,0.8,80,2e-07
3,40,0.8,80,2e-07
4,40,0.8,80,2e-07
5,40,0.8,80,2e-07
1,5,0.4,40,6e-07
2,5,0.4,40,6e-07
3,5,0.4,40,6e-07
4,5,0.4,40,6e-07
5,5,0.4,40,6e-07
1,20,0.4,40,6e-07
2,20,0.4,40,6e-07
3,20,0.4,40,6e-07
4,20,0.4,40,6e-07
5,20,0.4,40,6e-07
1,40,0.4,40,6e-07
2,40,0.4,40,6e-07
3,40,0.4,40,6e-07
4,40,0.4,40,6e-07
5,40,0.4,40,6e-07
1,5,0.8,40,6e-07
2,5,0.8,40,6e-07
3,5,0.8,40,6e-07
4,5,0.8,40,6e-07
5,5,0.8,40,6e-07
1,20,0.8,40,6e-07
2,20,0.8,40,6e-07
3,20,0.8,40,6e-07
4,20,0.8,40,6e-07
5,20,0.8,40,6e-07
1,40,0.8,40,6e-07
