ttype	sample	cosine_distance
PRAD	S_WGD11	0.20752996899790466
PRAD	S_WGD14	0.18985515067410397
PRAD	S_WGD15	0.15942399262816465
PRAD	S_WGD16	0.15395274016610516
PRAD	S_WGD18	0.3153710577732072
PRAD	S_WGD19	0.19867389305841066
PRAD	S_WGD2	0.18595459911889234
PRAD	S_WGD20	0.3206303045144846
PRAD	S_WGD21	0.261434810044576
PRAD	S_WGD9	0.14059510900091077
ESAD	S_Classic8	0.0180338163831123
ESAD	S_HM10	0.04930016113669977
ESAD	S_HM11	0.006221552904104755
ESAD	S_HM13	0.055645776348574594
ESAD	S_HM2	0.01217738211990027
ESAD	S_HM3	0.041029169512403096
ESAD	S_HM6	0.12017614448228886
ESAD	S_HM8	0.075449673642905
ESAD	S_HM9	0.027443647345827826
ESAD	S_WGD1	0.05853218975362373
ESAD	S_WGD11	0.06960513998765527
ESAD	S_WGD13	0.09980580694558683
ESAD	S_WGD14	7.56849956909944e-5
ESAD	S_WGD15	0.036433920866924985
ESAD	S_WGD16	0.08518395825187397
ESAD	S_WGD18	0.09515613966058956
ESAD	S_WGD2	0.021773797063907474
ESAD	S_WGD20	4.153479339801258e-4
ESAD	S_WGD22	0.029589271027803954
ESAD	S_WGD24	0.041781622108251204
ESAD	S_WGD27	0.42771414428634824
ESAD	S_WGD28	0.03419172554411598
ESAD	S_WGD6	0.08581794221084882
ESAD	S_WGD7	0.010047612916727178
BOCA	S_WGD1	-2.220446049250313e-16
BOCA	S_WGD12	0.0031806420649085343
BOCA	S_WGD13	-2.220446049250313e-16
BOCA	S_WGD19	1.1102230246251565e-16
BOCA	S_WGD2	-2.220446049250313e-16
BOCA	S_WGD20	0
BOCA	S_WGD21	0
BOCA	S_WGD4	0
BOCA	S_WGD7	1.1102230246251565e-16
BOCA	S_WGD8	2.220446049250313e-16
