"IntoGen_cancer_type","gene","class","event","n","class_total","prop"
"BRCA","BRCA1","HM","WT",1,3,0.333333333333333
"BRCA","BRCA1","Classic","WT",4,4,1
"BRCA","BRCA2","WGD","CNA_driver",2,13,0.153846153846154
"BRCA","BRCA2","WGD","M",1,13,0.0769230769230769
"BRCA","BRCA2","WGD","WT",10,13,0.769230769230769
"BRCA","BRCA2","Classic","CNA_driver",3,5,0.6
"BRCA","BRCA2","Classic","WT",2,5,0.4
"BRCA","BRD4","WGD","CNA_driver",2,2,1
"BRCA","BUB1B","WGD","CI_M",3,3,1
"BRCA","CACNA1D","WGD","WT",21,21,1
"BRCA","CACNA1D","Classic","WT",1,1,1
"BRCA","CASP8","WGD","WT",18,18,1
"BRCA","CASP8","HM","WT",1,1,1
"BRCA","CBFB","WGD","WT",16,16,1
"BRCA","CBFB","HM","WT",1,1,1
"BRCA","CBFB","Classic","M",4,4,1
"BRCA","CBLB","WGD","M",1,1,1
"BRCA","CCND1","WGD","CNA_driver",8,8,1
"BRCA","CCND1","Classic","CNA_driver",6,6,1
"BRCA","CD209","WGD","WT",13,13,1
"BRCA","CD209","HM","WT",1,1,1
"BRCA","CD209","Classic","WT",1,1,1
"BRCA","CDH1","WGD","WT",16,16,1
"BRCA","CDH1","HM","WT",1,1,1
"BRCA","CDH1","Classic","CNA_driver",2,6,0.333333333333333
"BRCA","CDH1","Classic","M",4,6,0.666666666666667
"BRCA","CDKN1B","WGD","CNA_driver",2,15,0.133333333333333
"BRCA","CDKN1B","WGD","WT",13,15,0.866666666666667
"BRCA","CDKN1B","Classic","WT",4,4,1
"BRCA","CDKN2A","WGD","WT",13,13,1
"BRCA","CDKN2A","Classic","CNA_driver",1,1,1
"BRCA","CHD6","WGD","M",1,1,1
"BRCA","CHEK2","WGD","WT",17,17,1
"BRCA","CHEK2","HM","WT",1,1,1
"BRCA","CLTC","WGD","WT",6,6,1
"BRCA","CLTC","HM","WT",3,3,1
"BRCA","CLTC","Classic","WT",7,7,1
"BRCA","CREBBP","WGD","WT",17,17,1
"BRCA","CREBBP","HM","WT",1,1,1
"BRCA","CREBBP","Classic","WT",9,9,1
"BRCA","CSF1R","WGD","WT",27,27,1
"BRCA","CSMD3","WGD","WT",5,5,1
"BRCA","CSMD3","HM","WT",1,1,1
"BRCA","CSMD3","Classic","WT",13,13,1
"BRCA","CSPG4","WGD","WT",19,19,1
"BRCA","CSPG4","HM","WT",1,1,1
"BRCA","CSPG4","Classic","WT",2,2,1
"BRCA","CTCF","WGD","WT",16,16,1
"BRCA","CTCF","HM","WT",1,1,1
"BRCA","CTCF","Classic","M",1,1,1
"BRCA","CUL3","WGD","M",1,1,1
"BRCA","CUX1","WGD","WT",12,12,1
"BRCA","CUX1","HM","WT",1,1,1
"BRCA","CUX1","Classic","WT",6,6,1
"BRCA","CYLD","WGD","WT",19,19,1
"BRCA","CYLD","HM","WT",1,1,1
"BRCA","DNMT3A","WGD","WT",19,19,1
"BRCA","DNMT3A","Classic","M",1,2,0.5
"BRCA","DNMT3A","Classic","WT",1,2,0.5
"BRCA","EGFR","WGD","WT",17,17,1
"BRCA","EGFR","Classic","WT",6,6,1
"BRCA","EIF4A2","WGD","WT",15,15,1
"BRCA","EIF4A2","HM","WT",3,3,1
"BRCA","EIF4A2","Classic","WT",5,5,1
"BRCA","ELN","WGD","WT",15,15,1
"BRCA","ELN","Classic","WT",7,7,1
"BRCA","EP300","WGD","WT",15,15,1
"BRCA","EP300","HM","WT",1,1,1
"BRCA","EPHA3","WGD","WT",3,3,1
"BRCA","EPHA3","Classic","WT",1,1,1
"BRCA","ERBB2","WGD","CNA_driver",1,15,0.0666666666666667
"BRCA","ERBB2","WGD","WT",14,15,0.933333333333333
"BRCA","ERBB2","Classic","WT",4,4,1
"BRCA","ERBB3","WGD","WT",19,19,1
"BRCA","ERBB3","Classic","WT",3,3,1
"BRCA","ERBB4","WGD","WT",18,18,1
"BRCA","ESR1","WGD","WT",10,10,1
"BRCA","ESR1","Classic","WT",1,1,1
"BRCA","ETV1","WGD","WT",17,17,1
"BRCA","ETV1","Classic","WT",9,9,1
"BRCA","FANCD2","WGD","CI_M",3,3,1
"BRCA","FAT1","WGD","WT",19,19,1
"BRCA","FAT1","HM","WT",1,1,1
"BRCA","FAT1","Classic","WT",3,3,1
"BRCA","FAT3","WGD","WT",18,18,1
"BRCA","FAT3","HM","WT",1,1,1
"BRCA","FAT4","WGD","WT",19,19,1
"BRCA","FAT4","HM","WT",1,1,1
"BRCA","FAT4","Classic","WT",3,3,1
"BRCA","FBXW7","WGD","WT",19,19,1
"BRCA","FBXW7","HM","CNA_driver",1,2,0.5
"BRCA","FBXW7","HM","WT",1,2,0.5
"BRCA","FBXW7","Classic","WT",3,3,1
"BRCA","FGFR2","WGD","WT",16,16,1
