"IntoGen_cancer_type","gene","class","event","n","class_total","prop"
"HCC","KEAP1","HM","M",1,3,0.333333333333333
"HCC","KEAP1","HM","WT",2,3,0.666666666666667
"HCC","KEAP1","Classic","M",2,4,0.5
"HCC","KEAP1","Classic","WT",2,4,0.5
"HCC","KIF11","WGD","CI_M",2,2,1
"HCC","KIF18A","WGD","CI_M",11,11,1
"HCC","KIF18A","Classic","CI_M",1,1,1
"HCC","KIF18B","WGD","CI_M",4,4,1
"HCC","KIF18B","Classic","CI_M",2,2,1
"HCC","KIF2A","WGD","CI_M",13,13,1
"HCC","KIF2A","HM","CI_M",3,3,1
"HCC","KIF2A","Classic","CI_M",9,9,1
"HCC","KIF2B","Classic","CI_M",1,1,1
"HCC","KLF4","WGD","WT",27,27,1
"HCC","KLF4","HM","WT",1,1,1
"HCC","KLF4","Classic","WT",3,3,1
"HCC","KLF6","Classic","M",1,1,1
"HCC","KMT2A","WGD","WT",21,21,1
"HCC","KMT2A","HM","WT",3,3,1
"HCC","KMT2B","WGD","WT",18,18,1
"HCC","KMT2B","HM","WT",3,3,1
"HCC","KMT2B","Classic","WT",8,8,1
"HCC","KMT2C","WGD","WT",20,20,1
"HCC","KMT2C","HM","WT",7,7,1
"HCC","KMT2C","Classic","M",2,25,0.08
"HCC","KMT2C","Classic","WT",23,25,0.92
"HCC","KMT2D","WGD","WT",29,29,1
"HCC","KMT2D","HM","WT",1,1,1
"HCC","KMT2D","Classic","M",1,3,0.333333333333333
"HCC","KMT2D","Classic","WT",2,3,0.666666666666667
"HCC","KRAS","WGD","WT",28,28,1
"HCC","KRAS","HM","WT",2,2,1
"HCC","KRAS","Classic","M",1,3,0.333333333333333
"HCC","KRAS","Classic","WT",2,3,0.666666666666667
"HCC","LEF1","WGD","WT",24,24,1
"HCC","LEF1","HM","WT",2,2,1
"HCC","LRP1B","WGD","WT",22,22,1
"HCC","LRP1B","HM","WT",3,3,1
"HCC","LRP1B","Classic","WT",1,1,1
"HCC","LZTR1","WGD","WT",18,18,1
"HCC","LZTR1","HM","WT",3,3,1
"HCC","LZTR1","Classic","WT",5,5,1
"HCC","MAD2L2","WGD","CI_M",1,1,1
"HCC","MAP2K4","WGD","WT",30,30,1
"HCC","MAP2K4","Classic","CNA_driver",1,4,0.25
"HCC","MAP2K4","Classic","WT",3,4,0.75
"HCC","MAP3K1","WGD","WT",21,21,1
"HCC","MAP3K1","HM","WT",8,8,1
"HCC","MAP3K1","Classic","WT",11,11,1
"HCC","MAPK1","WGD","WT",18,18,1
"HCC","MAPK1","HM","WT",3,3,1
"HCC","MAPK1","Classic","WT",5,5,1
"HCC","MCC","Classic","M",1,1,1
"HCC","MEN1","WGD","WT",20,20,1
"HCC","MEN1","HM","WT",4,4,1
"HCC","MET","WGD","CNA_driver",2,2,1
"HCC","MET","HM","CNA_driver",1,1,1
"HCC","MGA","Classic","M",2,2,1
"HCC","MTOR","WGD","WT",28,28,1
"HCC","MTOR","HM","WT",1,1,1
"HCC","MUC6","WGD","WT",22,22,1
"HCC","MUC6","HM","WT",4,4,1
"HCC","MUC6","Classic","WT",3,3,1
"HCC","MXD1","WGD","CI_M",4,4,1
"HCC","MXD1","HM","CI_M",1,1,1
"HCC","MYO5A","WGD","WT",29,29,1
"HCC","MYO5A","HM","WT",4,4,1
"HCC","MYO5A","Classic","WT",11,11,1
"HCC","N4BP2","WGD","WT",24,24,1
"HCC","N4BP2","HM","WT",4,4,1
"HCC","N4BP2","Classic","WT",6,6,1
"HCC","NBEA","WGD","WT",23,23,1
"HCC","NBEA","HM","WT",1,1,1
"HCC","NBEA","Classic","WT",3,3,1
"HCC","NCOR1","WGD","CNA_driver",1,1,1
"HCC","NCOR1","Classic","CNA_driver",3,3,1
"HCC","NCOR2","WGD","WT",27,27,1
"HCC","NCOR2","HM","WT",2,2,1
"HCC","NCOR2","Classic","WT",4,4,1
"HCC","NF1","WGD","WT",20,20,1
"HCC","NF1","HM","WT",2,2,1
"HCC","NF1","Classic","M",2,14,0.142857142857143
"HCC","NF1","Classic","WT",12,14,0.857142857142857
"HCC","NF2","WGD","WT",17,17,1
"HCC","NF2","HM","WT",3,3,1
"HCC","NF2","Classic","CNA_driver",1,9,0.111111111111111
"HCC","NF2","Classic","WT",8,9,0.888888888888889
"HCC","NFE2L2","WGD","WT",25,25,1
"HCC","NFE2L2","HM","M",1,4,0.25
"HCC","NFE2L2","HM","WT",3,4,0.75
"HCC","NFE2L2","Classic","M",6,9,0.666666666666667
"HCC","NFE2L2","Classic","WT",3,9,0.333333333333333
"HCC","NPM1","WGD","WT",23,23,1
"HCC","NPM1","HM","WT",9,9,1
"HCC","NPM1","Classic","WT",15,15,1
"HCC","NRAS","WGD","WT",28,28,1
"HCC","NRAS","HM","WT",2,2,1
"HCC","NRAS","Classic","M",1,3,0.333333333333333
"HCC","NRAS","Classic","WT",2,3,0.666666666666667
"HCC","PABPC1","WGD","WT",16,16,1
"HCC","PABPC1","HM","WT",5,5,1
"HCC","PABPC1","Classic","WT",31,31,1
"HCC","PBRM1","Classic","M",1,1,1
"HCC","PDS5A","WGD","CI_M",13,13,1
"HCC","PDS5A","HM","CI_M",2,2,1
"HCC","PDS5A","Classic","CI_M",2,2,1
"HCC","PDS5B","WGD","CI_M",7,7,1
"HCC","PDS5B","Classic","CI_M",1,1,1
"HCC","PIK3CA","WGD","WT",30,30,1
"HCC","PIK3CA","HM","WT",6,6,1
"HCC","PIK3CA","Classic","M",2,7,0.285714285714286
"HCC","PIK3CA","Classic","WT",5,7,0.714285714285714
"HCC","PLK1","WGD","CI_M",5,5,1
"HCC","PLK1","Classic","CI_M",1,1,1
"HCC","PLK4","WGD","CI_M",1,1,1
"HCC","PMS2","WGD","WT",19,19,1
"HCC","PMS2","HM","WT",8,8,1
"HCC","PMS2","Classic","WT",19,19,1
"HCC","PPP6C","HM","CNA_driver",1,1,1
"HCC","PRDM2","WGD","WT",29,29,1
"HCC","PRDM2","HM","WT",1,1,1
"HCC","PREX2","WGD","WT",18,18,1
"HCC","PREX2","HM","WT",5,5,1
"HCC","PREX2","Classic","WT",25,25,1
"HCC","PSMD11","Classic","M",1,1,1
"HCC","PTEN","WGD","WT",24,24,1
"HCC","PTEN","HM","WT",2,2,1
"HCC","PTEN","Classic","CNA_driver",5,10,0.5
"HCC","PTEN","Classic","M",2,10,0.2
"HCC","PTEN","Classic","WT",3,10,0.3
"HCC","PTPRC","WGD","WT",12,12,1
"HCC","PTPRC","HM","WT",6,6,1
"HCC","PTPRC","Classic","WT",50,50,1
"HCC","PTPRT","WGD","WT",22,22,1
"HCC","PTPRT","HM","WT",4,4,1
"HCC","PTPRT","Classic","WT",9,9,1
"HCC","RAD21","Classic","M",1,1,1
"HCC","RANBP2","WGD","WT",25,25,1
"HCC","RANBP2","HM","WT",3,3,1
"HCC","RANBP2","Classic","WT",2,2,1
"HCC","RASA2","Classic","M",1,1,1
"HCC","RB1","WGD","CNA_driver",5,22,0.227272727272727
"HCC","RB1","WGD","M",1,22,0.0454545454545455
"HCC","RB1","WGD","WT",16,22,0.727272727272727
"HCC","RB1","HM","CNA_driver",1,2,0.5
"HCC","RB1","HM","WT",1,2,0.5
"HCC","RB1","Classic","CNA_driver",8,12,0.666666666666667
"HCC","RB1","Classic","M",3,12,0.25
"HCC","RB1","Classic","WT",1,12,0.0833333333333333
"HCC","RGPD3","WGD","WT",25,25,1
"HCC","RGPD3","HM","WT",3,3,1
"HCC","RGPD3","Classic","WT",2,2,1
"HCC","RNF34","WGD","M",1,1,1
"HCC","RNF34","HM","M",1,1,1
"HCC","RNF34","Classic","M",2,2,1
"HCC","ROBO2","WGD","WT",31,31,1
"HCC","ROBO2","HM","WT",5,5,1
"HCC","ROBO2","Classic","WT",4,4,1
"HCC","ROS1","WGD","WT",23,23,1
"HCC","ROS1","HM","WT",3,3,1
"HCC","ROS1","Classic","WT",4,4,1
"HCC","RPL22","WGD","WT",28,28,1
"HCC","RPL22","HM","WT",2,2,1
"HCC","RPL22","Classic","M",1,1,1
"HCC","RPL5","WGD","M",1,1,1
"HCC","RRAS2","HM","M",1,1,1
"HCC","RUNX1T1","WGD","WT",15,15,1
"HCC","RUNX1T1","HM","WT",5,5,1
"HCC","RUNX1T1","Classic","WT",28,28,1
"HCC","SDHA","WGD","WT",17,17,1
"HCC","SDHA","HM","WT",5,5,1
"HCC","SDHA","Classic","WT",7,7,1
"HCC","SDHB","Classic","M",1,1,1
"HCC","SETD2","WGD","WT",31,31,1
"HCC","SETD2","HM","WT",4,4,1
"HCC","SETD2","Classic","M",2,9,0.222222222222222
"HCC","SETD2","Classic","WT",7,9,0.777777777777778
"HCC","SETDB1","WGD","M",3,12,0.25
"HCC","SETDB1","WGD","WT",9,12,0.75
"HCC","SETDB1","HM","M",1,4,0.25
"HCC","SETDB1","HM","WT",3,4,0.75
"HCC","SETDB1","Classic","M",3,48,0.0625
"HCC","SETDB1","Classic","WT",45,48,0.9375
"HCC","SF3B1","WGD","WT",25,25,1
"HCC","SF3B1","HM","WT",3,3,1
"HCC","SF3B1","Classic","M",1,5,0.2
"HCC","SF3B1","Classic","WT",4,5,0.8
"HCC","SMAD4","Classic","M",1,1,1
"HCC","SMARCA4","WGD","WT",23,23,1
"HCC","SMARCA4","HM","WT",2,2,1
"HCC","SMARCA4","Classic","CNA_driver",1,3,0.333333333333333
"HCC","SMARCA4","Classic","WT",2,3,0.666666666666667
"HCC","SMC3","WGD","CI_M",2,2,1
"HCC","SMC3","HM","CI_M",1,1,1
"HCC","SMO","WGD","WT",21,21,1
"HCC","SMO","HM","WT",7,7,1
"HCC","SMO","Classic","WT",24,24,1
"HCC","STAG1","WGD","CI_M",27,27,1
"HCC","STAG1","HM","CI_M",1,1,1
"HCC","STAG1","Classic","CI_M",2,2,1
"HCC","STAT3","Classic","M",1,1,1
"HCC","TAL1","WGD","WT",29,29,1
"HCC","TAL1","HM","WT",1,1,1
"HCC","TAL1","Classic","WT",3,3,1
"HCC","TCF7L2","WGD","WT",22,22,1
"HCC","TCF7L2","HM","WT",3,3,1
"HCC","TCF7L2","Classic","WT",3,3,1
"HCC","TERT","WGD","CNA_driver",1,3,0.333333333333333
"HCC","TERT","WGD","M",2,3,0.666666666666667
"HCC","TERT","HM","M",2,2,1
"HCC","TERT","Classic","M",3,3,1
"HCC","TET1","WGD","WT",24,24,1
"HCC","TET1","HM","WT",3,3,1
"HCC","TET1","Classic","WT",4,4,1
"HCC","TFG","WGD","WT",33,33,1
"HCC","TFG","HM","WT",6,6,1
"HCC","TFG","Classic","WT",3,3,1
"HCC","TOB1","Classic","M",1,1,1
"HCC","TOP1","WGD","WT",22,22,1
"HCC","TOP1","HM","WT",4,4,1
"HCC","TOP1","Classic","WT",9,9,1
"HCC","TP53","WGD","CNA_driver",1,33,0.0303030303030303
"HCC","TP53","WGD","M",20,33,0.606060606060606
"HCC","TP53","WGD","WT",12,33,0.363636363636364
"HCC","TP53","HM","M",4,4,1
"HCC","TP53","Classic","CNA_driver",1,40,0.025
"HCC","TP53","Classic","M",38,40,0.95
"HCC","TP53","Classic","WT",1,40,0.025
"HCC","TPR","WGD","WT",12,12,1
"HCC","TPR","HM","WT",7,7,1
"HCC","TPR","Classic","WT",50,50,1
"HCC","TRAF7","WGD","CNA_driver",1,1,1
"HCC","TRIB3","HM","CI_M",1,1,1
"HCC","TRIP12","Classic","M",1,1,1
"HCC","TSC1","WGD","WT",25,25,1
"HCC","TSC1","HM","CNA_driver",1,3,0.333333333333333
"HCC","TSC1","HM","WT",2,3,0.666666666666667
"HCC","TSC1","Classic","CNA_driver",1,8,0.125
"HCC","TSC1","Classic","M",2,8,0.25
"HCC","TSC1","Classic","WT",5,8,0.625
"HCC","TSC2","WGD","CNA_driver",1,21,0.0476190476190476
"HCC","TSC2","WGD","WT",20,21,0.952380952380952
"HCC","TSC2","HM","WT",1,1,1
"HCC","TSC2","Classic","M",2,5,0.4
"HCC","TSC2","Classic","WT",3,5,0.6
"HCC","TUBGCP2","WGD","CI_M",6,6,1
"HCC","TUBGCP2","Classic","CI_M",1,1,1
"HCC","U2AF1","WGD","M",1,1,1
"HCC","USP44","WGD","CI_M",4,4,1
"HCC","USP44","HM","CI_M",1,1,1
"HCC","USP44","Classic","CI_M",1,1,1
"HCC","USP6","WGD","WT",29,29,1
"HCC","USP6","Classic","WT",3,3,1
"HCC","USP8","WGD","WT",28,28,1
"HCC","USP8","HM","WT",4,4,1
"HCC","USP8","Classic","WT",11,11,1
"HCC","WAPAL","WGD","CI_M",7,7,1
"HCC","WAPAL","Classic","CI_M",2,2,1
"HCC","WNK2","WGD","WT",28,28,1
"HCC","WNK2","HM","WT",1,1,1
"HCC","WNK2","Classic","WT",2,2,1
"HCC","WT1","WGD","M",1,1,1
"HCC","XPO1","Classic","M",1,1,1
"HCC","XRN1","Classic","M",1,1,1
"HCC","ZFHX3","WGD","WT",25,25,1
"HCC","ZFHX3","HM","WT",1,1,1
"HCC","ZFHX3","Classic","WT",2,2,1
"HCC","ZNF429","WGD","WT",22,22,1
"HCC","ZNF429","HM","WT",2,2,1
"HCC","ZNF429","Classic","WT",3,3,1
"HCC","ZNF521","WGD","WT",26,26,1
"HCC","ZNF521","HM","WT",2,2,1
"HCC","ZNF521","Classic","WT",1,1,1
"HCC","enhancers::chr7:86865600-86866400::NA::NA","Classic","M",1,1,1
"HCC","lncrna.ncrna::gencode::RMRP::ENSG00000269900.2","Classic","M",1,1,1
"HCC","lncrna.ncrna::gencode::RPPH1::ENSG00000259001.2","Classic","M",1,1,1
"HCC","lncrna.promCore::gencode::RMRP::ENSG00000269900.2","WGD","M",1,1,1
"HCC","lncrna.promCore::gencode::RMRP::ENSG00000269900.2","Classic","M",3,3,1
"HNSC","ACVR1","WGD","WT",1,1,1
"HNSC","ACVR1","Classic","WT",1,1,1
"HNSC","AJUBA","WGD","WT",1,1,1
"HNSC","AKAP9","WGD","WT",1,1,1
"HNSC","ARID2","WGD","WT",1,1,1
"HNSC","ARID2","Classic","WT",1,1,1
"HNSC","ARID5B","Classic","M",1,1,1
"HNSC","ASXL1","WGD","M",1,1,1
"HNSC","B2M","WGD","WT",1,1,1
"HNSC","BRD4","WGD","WT",4,4,1
"HNSC","BRD4","Classic","WT",1,1,1
"HNSC","BUB1B","WGD","CI_M",1,1,1
"HNSC","CASP8","WGD","WT",1,1,1
"HNSC","CCND1","Classic","WT",1,1,1
"HNSC","CDKN2A","WGD","M",1,1,1
"HNSC","CDKN2A","Classic","WT",1,1,1
"HNSC","CHD4","WGD","WT",1,1,1
"HNSC","CHD4","Classic","WT",1,1,1
"HNSC","CSF3R","WGD","WT",2,2,1
"HNSC","CSF3R","Classic","WT",1,1,1
"HNSC","ELK4","WGD","WT",1,1,1
"HNSC","ELK4","Classic","WT",3,3,1
"HNSC","FAT1","Classic","CNA_driver",1,1,1
"HNSC","FAT3","WGD","WT",1,1,1
"HNSC","FAT3","Classic","WT",1,1,1
"HNSC","FBLN2","WGD","WT",1,1,1
"HNSC","FBXW7","WGD","WT",1,1,1
"HNSC","GATA2","Classic","WT",1,1,1
"HNSC","HLA-A","WGD","WT",1,1,1
"HNSC","HLA-A","Classic","M",1,1,1
"HNSC","HLA-B","WGD","WT",1,1,1
"HNSC","HRAS","WGD","WT",1,1,1
"HNSC","KIF11","WGD","CI_M",1,1,1
"HNSC","KIF2A","Classic","CI_M",2,2,1
"HNSC","KIF2C","WGD","CI_M",1,1,1
"HNSC","KIF5B","WGD","WT",1,1,1
"HNSC","KMT2C","WGD","WT",1,1,1
"HNSC","KMT2D","WGD","WT",1,1,1
"HNSC","KMT2D","Classic","WT",1,1,1
"HNSC","KRAS","Classic","M",1,1,1
"HNSC","LRP1B","WGD","WT",1,1,1
"HNSC","LRP1B","Classic","WT",1,1,1
"HNSC","MB21D2","Classic","WT",3,3,1
"HNSC","MIB2","WGD","WT",1,1,1
"HNSC","MIB2","Classic","WT",2,2,1
"HNSC","MPL","WGD","WT",2,2,1
"HNSC","MPL","Classic","WT",1,1,1
"HNSC","NF1","WGD","WT",1,1,1
"HNSC","NF1","Classic","M",1,2,0.5
"HNSC","NF1","Classic","WT",1,2,0.5
"HNSC","NFE2L2","WGD","WT",1,1,1
"HNSC","NFE2L2","Classic","WT",1,1,1
"HNSC","NOTCH1","WGD","WT",1,1,1
"HNSC","NOTCH1","Classic","M",1,1,1
"HNSC","NOTCH2","WGD","WT",2,2,1
"HNSC","NOTCH2","Classic","WT",1,1,1
"HNSC","NSD1","Classic","WT",2,2,1
"HNSC","PA2G4","Classic","M",1,1,1
"HNSC","PIK3CA","WGD","M",1,1,1
"HNSC","PIK3CA","Classic","M",1,2,0.5
"HNSC","PIK3CA","Classic","WT",1,2,0.5
"HNSC","PIK3R1","Classic","WT",2,2,1
"HNSC","PTEN","WGD","WT",1,1,1
"HNSC","RASA1","Classic","WT",2,2,1
"HNSC","RHOA","WGD","WT",1,1,1
"HNSC","ROS1","WGD","WT",3,3,1
"HNSC","SETD1B","WGD","WT",1,1,1
"HNSC","SETD1B","Classic","WT",1,1,1
"HNSC","SETDB1","WGD","WT",1,1,1
"HNSC","SETDB1","Classic","WT",2,2,1
"HNSC","SMAD4","WGD","WT",1,1,1
"HNSC","SMARCA4","WGD","WT",4,4,1
"HNSC","SMARCA4","Classic","WT",1,1,1
"HNSC","STAG1","WGD","CI_M",2,2,1
"HNSC","TGFBR2","WGD","WT",1,1,1
"HNSC","TP53","WGD","M",1,1,1
"HNSC","TP53","Classic","M",1,1,1
"HNSC","TP63","Classic","WT",3,3,1
"HNSC","TRRAP","WGD","WT",1,1,1
"LUAD","ACVR1B","WGD","WT",3,3,1
"LUAD","AFF3","WGD","WT",2,2,1
"LUAD","APC","WGD","WT",2,2,1
"LUAD","ARID1A","WGD","WT",3,3,1
"LUAD","ARID2","WGD","WT",3,3,1
"LUAD","ATF7IP","WGD","WT",3,3,1
"LUAD","ATM","WGD","WT",2,2,1
"LUAD","BIRC6","WGD","WT",1,1,1
"LUAD","BRAF","WGD","WT",1,1,1
"LUAD","CBLB","WGD","WT",1,1,1
"LUAD","CBLB","Classic","WT",1,1,1
"LUAD","CDH10","WGD","WT",1,1,1
"LUAD","CDKN2A","WGD","WT",1,1,1
"LUAD","CIC","WGD","WT",1,1,1
"LUAD","CSMD3","WGD","WT",2,2,1
"LUAD","CTNNA2","WGD","WT",1,1,1
"LUAD","CTNNB1","WGD","WT",1,1,1
"LUAD","CTNND2","WGD","WT",1,1,1
"LUAD","CUX1","WGD","WT",1,1,1
"LUAD","EPHA7","WGD","WT",1,1,1
"LUAD","ERBB2","WGD","WT",2,2,1
"LUAD","FAT4","WGD","WT",3,3,1
"LUAD","FBXW7","WGD","WT",3,3,1
"LUAD","FLCN","WGD","WT",1,1,1
"LUAD","FLT4","WGD","WT",1,1,1
"LUAD","KDR","WGD","WT",1,1,1
"LUAD","KEAP1","WGD","WT",1,1,1
"LUAD","KIF18B","WGD","CI_M",2,2,1
"LUAD","KIF2B","WGD","CI_M",3,3,1
"LUAD","KIF2C","WGD","CI_M",1,1,1
"LUAD","KRAS","WGD","WT",3,3,1
"LUAD","LRP1B","WGD","WT",2,2,1
"LUAD","MET","WGD","WT",1,1,1
"LUAD","NCOA2","WGD","WT",2,2,1
"LUAD","NCOR1","WGD","WT",1,1,1
"LUAD","NF1","WGD","WT",2,2,1
"LUAD","NFKBIE","WGD","WT",1,1,1
"LUAD","NOTCH1","WGD","WT",3,3,1
"LUAD","NRAS","WGD","WT",2,2,1
"LUAD","PBRM1","WGD","WT",1,1,1
"LUAD","PER3","WGD","WT",3,3,1
"LUAD","PIK3CA","WGD","WT",1,1,1
"LUAD","PLK1","WGD","CI_M",1,1,1
"LUAD","PPM1D","WGD","WT",3,3,1
"LUAD","PTEN","WGD","WT",1,1,1
"LUAD","RBM15","WGD","WT",3,3,1
"LUAD","RGS7","WGD","WT",3,3,1
"LUAD","RGS7","Classic","WT",1,1,1
"LUAD","RHPN2","WGD","WT",2,2,1
"LUAD","RPL5","WGD","WT",3,3,1
"LUAD","SETD1B","WGD","WT",2,2,1
"LUAD","SETD2","WGD","WT",1,1,1
"LUAD","SLC34A2","WGD","WT",1,1,1
"LUAD","SMARCA4","WGD","WT",1,1,1
"LUAD","SPEN","WGD","WT",3,3,1
"LUAD","STK11","WGD","WT",1,1,1
"LUAD","TP53","WGD","WT",1,1,1
"LUAD","TRRAP","WGD","WT",1,1,1
"LUAD","TSC1","WGD","WT",3,3,1
"LUAD","TUBGCP2","WGD","CI_M",1,1,1
"LUAD","USP44","WGD","CI_M",1,1,1
"LUAD","VAV1","WGD","WT",1,1,1
"LUAD","ZEB1","WGD","WT",1,1,1
"LUSC","ARHGAP35","WGD","WT",3,3,1
"LUSC","ARID1A","WGD","WT",2,2,1
"LUSC","ARID1B","WGD","WT",1,1,1
"LUSC","BUB1B","WGD","CI_M",1,1,1
"LUSC","CD209","WGD","WT",2,2,1
"LUSC","CREBBP","WGD","WT",1,1,1
"LUSC","CUL3","WGD","WT",4,4,1
"LUSC","CUX1","WGD","WT",2,2,1
"LUSC","CUX1","Classic","WT",1,1,1
"LUSC","EGFR","WGD","WT",1,1,1
"LUSC","ESR1","WGD","WT",2,2,1
"LUSC","FAT1","WGD","WT",1,1,1
"LUSC","FBXW7","WGD","WT",2,2,1
"LUSC","FGFR2","WGD","WT",2,2,1
"LUSC","FGFR3","WGD","WT",1,1,1
"LUSC","HLA-A","WGD","WT",1,1,1
"LUSC","HRAS","WGD","WT",1,1,1
"LUSC","KEAP1","WGD","WT",2,2,1
"LUSC","KIF2B","WGD","CI_M",2,2,1
"LUSC","KIF2B","Classic","CI_M",1,1,1
"LUSC","KMT2C","WGD","WT",2,2,1
"LUSC","KMT2C","Classic","WT",1,1,1
"LUSC","KMT2D","WGD","WT",4,4,1
"LUSC","KRAS","WGD","WT",3,3,1
"LUSC","LRP1B","WGD","WT",3,3,1
"LUSC","MUC6","WGD","WT",1,1,1
"LUSC","NF1","WGD","WT",2,2,1
"LUSC","NFE2L2","WGD","WT",5,5,1
"LUSC","NOTCH1","WGD","WT",2,2,1
"LUSC","NRAS","WGD","WT",1,1,1
"LUSC","NUP98","WGD","WT",1,1,1
"LUSC","PDGFRA","WGD","WT",2,2,1
"LUSC","PDS5A","WGD","CI_M",1,1,1
"LUSC","PTEN","WGD","WT",3,3,1
"LUSC","RANBP2","WGD","WT",4,4,1
"LUSC","RGPD3","WGD","WT",4,4,1
"LUSC","RGS7","WGD","WT",5,5,1
"LUSC","RGS7","Classic","WT",1,1,1
"LUSC","RHPN2","WGD","WT",2,2,1
"LUSC","RNF213","WGD","WT",2,2,1
"LUSC","RNF213","Classic","WT",1,1,1
"LUSC","RNF43","WGD","WT",2,2,1
"LUSC","RNF43","Classic","WT",1,1,1
"LUSC","STAG1","WGD","CI_M",2,2,1
"LUSC","TNC","WGD","WT",2,2,1
"LUSC","TP53","WGD","WT",2,2,1
"LUSC","TUBGCP2","WGD","CI_M",2,2,1
"LUSC","USP6","WGD","WT",2,2,1
"LUSC","ZEB1","WGD","WT",3,3,1
"LUSC","ZNF750","WGD","WT",2,2,1
"MBL","ARID1A","WGD","WT",4,4,1
"MBL","ARID1B","WGD","WT",6,6,1
"MBL","ARID1B","HM","WT",1,1,1
"MBL","ARID1B","Classic","WT",3,3,1
"MBL","ARID2","WGD","WT",4,4,1
"MBL","ARID2","Classic","WT",2,2,1
"MBL","ASXL1","WGD","WT",4,4,1
"MBL","ASXL1","HM","WT",1,1,1
"MBL","ASXL1","Classic","WT",2,2,1
"MBL","ATM","Classic","M",1,1,1
"MBL","BRCA2","WGD","WT",4,4,1
"MBL","BRCA2","HM","WT",1,1,1
"MBL","BRPF1","Classic","M",1,1,1
"MBL","CCAR1","WGD","WT",6,6,1
"MBL","CHD7","WGD","WT",4,4,1
"MBL","CHD7","Classic","WT",1,1,1
"MBL","CREBBP","WGD","WT",2,2,1
"MBL","CREBBP","Classic","M",1,1,1
"MBL","CTDNEP1","Classic","M",1,1,1
"MBL","CTNNB1","WGD","WT",5,5,1
"MBL","CTNNB1","HM","WT",1,1,1
"MBL","CTNNB1","Classic","WT",1,1,1
"MBL","DDX6","WGD","WT",4,4,1
"MBL","DDX6","HM","WT",1,1,1
"MBL","EP300","WGD","WT",3,3,1
"MBL","EP300","HM","WT",1,1,1
"MBL","FAM174B","WGD","WT",6,6,1
"MBL","FAM174B","Classic","WT",1,1,1
"MBL","FANCA","HM","CNA_driver",1,1,1
"MBL","FAT1","WGD","WT",4,4,1
"MBL","FAT1","HM","WT",1,1,1
"MBL","FAT1","Classic","WT",2,2,1
"MBL","FBXW7","WGD","WT",4,4,1
"MBL","FBXW7","HM","WT",1,1,1
"MBL","FBXW7","Classic","M",1,3,0.333333333333333
"MBL","FBXW7","Classic","WT",2,3,0.666666666666667
"MBL","FOXO3","WGD","WT",6,6,1
"MBL","FOXO3","HM","WT",1,1,1
"MBL","FOXO3","Classic","WT",3,3,1
"MBL","FUBP1","Classic","M",1,1,1
"MBL","GNA13","WGD","M",1,1,1
"MBL","GNAS","WGD","WT",4,4,1
"MBL","GNAS","HM","WT",1,1,1
"MBL","GNAS","Classic","WT",2,2,1
"MBL","HIP1","WGD","WT",3,3,1
"MBL","HIP1","Classic","WT",4,4,1
"MBL","IDH1","WGD","WT",4,4,1
"MBL","IDH1","HM","WT",1,1,1
"MBL","IDH1","Classic","M",1,2,0.5
"MBL","IDH1","Classic","WT",1,2,0.5
"MBL","KAT6B","WGD","WT",6,6,1
"MBL","KBTBD4","Classic","M",2,2,1
"MBL","KDM3B","WGD","WT",5,5,1
"MBL","KDM3B","Classic","WT",2,2,1
"MBL","KIF18A","WGD","CI_M",1,1,1
"MBL","KIF2A","WGD","CI_M",1,1,1
"MBL","KMT2C","WGD","WT",2,2,1
"MBL","KMT2C","Classic","M",4,7,0.571428571428571
"MBL","KMT2C","Classic","WT",3,7,0.428571428571429
"MBL","KMT2D","WGD","WT",4,4,1
"MBL","KMT2D","Classic","M",5,6,0.833333333333333
"MBL","KMT2D","Classic","WT",1,6,0.166666666666667
"MBL","LDB1","WGD","WT",6,6,1
"MBL","LDB1","Classic","M",1,1,1
"MBL","LRP1B","WGD","WT",4,4,1
"MBL","LRP1B","HM","WT",1,1,1
"MBL","LRP1B","Classic","WT",1,1,1
"MBL","MAX","WGD","WT",4,4,1
"MBL","MYCN","WGD","CNA_driver",1,6,0.166666666666667
"MBL","MYCN","WGD","WT",5,6,0.833333333333333
"MBL","MYCN","HM","WT",1,1,1
"MBL","MYCN","Classic","CNA_driver",1,1,1
"MBL","NCOR1","WGD","WT",2,2,1
"MBL","NCOR1","Classic","WT",1,1,1
"MBL","NOTCH1","WGD","WT",4,4,1
"MBL","NOTCH1","Classic","M",1,6,0.166666666666667
"MBL","NOTCH1","Classic","WT",5,6,0.833333333333333
"MBL","NTRK2","WGD","WT",5,5,1
"MBL","NTRK2","Classic","WT",5,5,1
"MBL","PIK3CA","WGD","M",1,5,0.2
"MBL","PIK3CA","WGD","WT",4,5,0.8
"MBL","PIK3CA","HM","WT",1,1,1
"MBL","PIK3CA","Classic","WT",3,3,1
"MBL","PRKAR1A","WGD","WT",3,3,1
"MBL","PRKAR1A","Classic","M",3,9,0.333333333333333
"MBL","PRKAR1A","Classic","WT",6,9,0.666666666666667
"MBL","PTCH1","WGD","WT",5,5,1
"MBL","PTCH1","Classic","CNA_driver",1,6,0.166666666666667
"MBL","PTCH1","Classic","M",5,6,0.833333333333333
"MBL","PTEN","WGD","WT",6,6,1
"MBL","PTEN","Classic","CNA_driver",1,1,1
"MBL","RNF213","WGD","WT",3,3,1
"MBL","RNF213","Classic","WT",7,7,1
