"IntoGen_cancer_type","gene","test_type","comparison","event","p_value","odds_ratio","ci_low","ci_high","n_WGD","n_HM","n_Classic","p_adj_local","p_adj_global"
"BRCA","ABL2","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,9,2,14,NA,NA
"BRCA","ABL2","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,9,2,14,NA,NA
"BRCA","ABL2","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,9,2,14,NA,NA
"BRCA","ABL2","per_event_pairwise","WGD_vs_Classic","WT",NA,NA,NA,NA,9,2,14,NA,NA
"BRCA","ACVR1B","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,20,0,3,NA,NA
"BRCA","ACVR1B","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,20,0,3,NA,NA
"BRCA","ACVR1B","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,20,0,3,NA,NA
"BRCA","ACVR1B","per_event_pairwise","WGD_vs_Classic","WT",NA,NA,NA,NA,20,0,3,NA,NA
"BRCA","AKAP9","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,15,1,6,NA,NA
"BRCA","AKAP9","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,15,1,6,NA,NA
"BRCA","AKAP9","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,15,1,6,NA,NA
"BRCA","AKAP9","per_event_pairwise","WGD_vs_Classic","WT",NA,NA,NA,NA,15,1,6,NA,NA
"BRCA","ARHGAP35","global","Classic_vs_WGD",NA,0.142857142857143,NA,NA,NA,18,0,3,0.298701298701299,0.233082706766917
"BRCA","ARHGAP35","pairwise_all_events","WGD_vs_Classic",NA,0.142857142857143,NA,NA,NA,18,0,3,0.307692307692308,0.312427409988386
"BRCA","ARHGAP35","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,18,0,3,NA,NA
"BRCA","ARHGAP35","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,18,0,3,NA,NA
"BRCA","ARHGAP35","per_event_pairwise","WGD_vs_Classic","M",0.142857142857143,0,0,6.50000192016658,18,0,3,0.308035714285714,0.352380952380953
"BRCA","ARHGAP35","per_event_pairwise","WGD_vs_Classic","WT",0.142857142857143,Inf,0.153846108398438,Inf,18,0,3,0.308035714285714,0.352380952380953
"BRCA","ARID1A","global","Classic_vs_WGD",NA,0.00249875062468766,NA,NA,NA,21,2,8,0.0114942528735632,0.00880241697333152
"BRCA","ARID1A","pairwise_all_events","WGD_vs_Classic",NA,0.000499750124937531,NA,NA,NA,21,2,8,0.00466433449941696,0.00407372071539988
"BRCA","ARID1A","per_event_pairwise","WGD_vs_Classic","CNA_driver",0.00142236574020682,0.0395451247728252,0.000713649287139776,0.43035362534022,21,2,8,0.0140204622963244,0.0121723544297971
"BRCA","ARID1A","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,21,2,8,NA,NA
"BRCA","ARID1A","per_event_pairwise","WGD_vs_Classic","M",1,Inf,0.00978348214285715,Inf,21,2,8,1,1
"BRCA","ARID1A","per_event_pairwise","WGD_vs_Classic","WT",0.00325222004382424,19.6148503499694,1.86196607388919,1062.19984736012,21,2,8,0.0249336870026525,0.0239762526838606
"BRCA","ASXL1","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,17,0,4,NA,NA
"BRCA","ASXL1","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,17,0,4,NA,NA
"BRCA","ASXL1","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,17,0,4,NA,NA
"BRCA","ASXL1","per_event_pairwise","WGD_vs_Classic","WT",NA,NA,NA,NA,17,0,4,NA,NA
"BRCA","BRAF","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,14,0,6,NA,NA
"BRCA","BRAF","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,14,0,6,NA,NA
"BRCA","BRAF","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,14,0,6,NA,NA
"BRCA","BRAF","per_event_pairwise","WGD_vs_Classic","WT",NA,NA,NA,NA,14,0,6,NA,NA
"BRCA","BRCA1","global","Classic_vs_HM_vs_WGD",NA,0.0689655172413793,NA,NA,NA,12,3,4,0.176245210727969,0.137931034482759
"BRCA","BRCA1","pairwise_all_events","HM_vs_Classic",NA,0.142857142857143,NA,NA,NA,12,3,4,0.307692307692308,0.312427409988386
"BRCA","BRCA1","pairwise_all_events","HM_vs_WGD",NA,0.0813186813186814,NA,NA,NA,12,3,4,0.227692307692308,0.212375973541022
"BRCA","BRCA1","pairwise_all_events","WGD_vs_Classic",NA,1,NA,NA,NA,12,3,4,1,1
"BRCA","BRCA1","per_event_HM_vs_rest","HM_vs_rest","CNA_driver",0.0505675954592363,20.3823742927511,0.646393988682212,1840.77267018959,12,3,4,0.202270381836945,1
"BRCA","BRCA1","per_event_HM_vs_rest","HM_vs_rest","CI_M",NA,NA,NA,NA,12,3,4,NA,NA
"BRCA","BRCA1","per_event_HM_vs_rest","HM_vs_rest","M",NA,NA,NA,NA,12,3,4,NA,NA
"BRCA","BRCA1","per_event_HM_vs_rest","HM_vs_rest","WT",0.0505675954592363,0.0490619976670553,0.000543250134139069,1.54704408999637,12,3,4,0.202270381836945,1
"BRCA","BRCA1","per_event_pairwise","HM_vs_Classic","CNA_driver",0.142857142857143,Inf,0.283457522659101,Inf,12,3,4,0.308035714285714,0.352380952380953
"BRCA","BRCA1","per_event_pairwise","HM_vs_Classic","CI_M",NA,NA,NA,NA,12,3,4,NA,NA
"BRCA","BRCA1","per_event_pairwise","HM_vs_Classic","M",NA,NA,NA,NA,12,3,4,NA,NA
"BRCA","BRCA1","per_event_pairwise","HM_vs_Classic","WT",0.142857142857143,0,0,3.52786544741889,12,3,4,0.308035714285714,0.352380952380953
"BRCA","BRCA1","per_event_pairwise","HM_vs_WGD","CNA_driver",0.0813186813186814,15.07288934159,0.469006633743863,1387.69251544943,12,3,4,0.255044955044955,0.243568812140241
"BRCA","BRCA1","per_event_pairwise","HM_vs_WGD","CI_M",NA,NA,NA,NA,12,3,4,NA,NA
"BRCA","BRCA1","per_event_pairwise","HM_vs_WGD","M",NA,NA,NA,NA,12,3,4,NA,NA
"BRCA","BRCA1","per_event_pairwise","HM_vs_WGD","WT",0.0813186813186813,0.0663442806045647,0.000720620734684981,2.13216600374596,12,3,4,0.255044955044955,0.243568812140241
"BRCA","BRCA1","per_event_pairwise","WGD_vs_Classic","CNA_driver",1,Inf,0.00856250000000001,Inf,12,3,4,1,1
"BRCA","BRCA1","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,12,3,4,NA,NA
"BRCA","BRCA1","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,12,3,4,NA,NA
"BRCA","BRCA1","per_event_pairwise","WGD_vs_Classic","WT",1,0,0,116.788321167883,12,3,4,1,1
"BRCA","BRCA2","global","Classic_vs_WGD",NA,0.220889555222389,NA,NA,NA,13,0,5,0.317528735632184,0.330800783183288
"BRCA","BRCA2","pairwise_all_events","WGD_vs_Classic",NA,0.233883058470765,NA,NA,NA,13,0,5,0.363818090954523,0.423666954401587
"BRCA","BRCA2","per_event_pairwise","WGD_vs_Classic","CNA_driver",0.0987394957983193,0.141557989875785,0.00679808700789089,2.04110548798444,13,0,5,0.296218487394958,0.274810366624526
"BRCA","BRCA2","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,13,0,5,NA,NA
"BRCA","BRCA2","per_event_pairwise","WGD_vs_Classic","M",1,Inf,0.00987740384615386,Inf,13,0,5,1,1
"BRCA","BRCA2","per_event_pairwise","WGD_vs_Classic","WT",0.268207282913165,4.49956740577819,0.344640474448175,80.1585164571928,13,0,5,0.451373232219717,0.496914229609369
"BRCA","CBFB","global","Classic_vs_WGD",NA,0.00020639834881321,NA,NA,NA,16,1,4,0.00383141762452107,0.00281677343146609
"BRCA","CBFB","pairwise_all_events","WGD_vs_Classic",NA,0.00020639834881321,NA,NA,NA,16,1,4,0.00466433449941696,0.00407372071539988
"BRCA","CBFB","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,16,1,4,NA,NA
"BRCA","CBFB","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,16,1,4,NA,NA
"BRCA","CBFB","per_event_pairwise","WGD_vs_Classic","M",0.00020639834881321,0,0,0.159918184229086,16,1,4,0.00474716202270382,0.0027046783625731
"BRCA","CBFB","per_event_pairwise","WGD_vs_Classic","WT",0.00020639834881321,Inf,6.25319756362092,Inf,16,1,4,0.00474716202270382,0.0027046783625731
"BRCA","CCND1","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,8,0,6,NA,NA
"BRCA","CCND1","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,8,0,6,NA,NA
"BRCA","CCND1","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,8,0,6,NA,NA
"BRCA","CCND1","per_event_pairwise","WGD_vs_Classic","WT",NA,NA,NA,NA,8,0,6,NA,NA
"BRCA","CDH1","global","Classic_vs_WGD",NA,0.000499750124937531,NA,NA,NA,16,1,6,0.00383141762452107,0.00281677343146609
"BRCA","CDH1","pairwise_all_events","WGD_vs_Classic",NA,0.000499750124937531,NA,NA,NA,16,1,6,0.00466433449941696,0.00407372071539988
"BRCA","CDH1","per_event_pairwise","WGD_vs_Classic","CNA_driver",0.0649350649350649,0,0,1.84388419355907,16,1,6,0.224025974025974,0.21494391025641
"BRCA","CDH1","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,16,1,6,NA,NA
"BRCA","CDH1","per_event_pairwise","WGD_vs_Classic","M",0.00205058099794942,0,0,0.37463152869489,16,1,6,0.0176862611073137,0.016642779970454
"BRCA","CDH1","per_event_pairwise","WGD_vs_Classic","WT",1.34024901826759e-05,Inf,10.3235806161485,Inf,16,1,6,0.000924771822604639,0.000312228382403821
"BRCA","CDKN1B","global","Classic_vs_WGD",NA,1,NA,NA,NA,15,0,4,1,1
"BRCA","CDKN1B","pairwise_all_events","WGD_vs_Classic",NA,1,NA,NA,NA,15,0,4,1,1
"BRCA","CDKN1B","per_event_pairwise","WGD_vs_Classic","CNA_driver",1,Inf,0.0462964580001917,Inf,15,0,4,1,1
"BRCA","CDKN1B","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,15,0,4,NA,NA
"BRCA","CDKN1B","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,15,0,4,NA,NA
"BRCA","CDKN1B","per_event_pairwise","WGD_vs_Classic","WT",1,0,0,21.5999245556941,15,0,4,1,1
"BRCA","CLTC","per_event_HM_vs_rest","HM_vs_rest","CNA_driver",NA,NA,NA,NA,6,3,7,NA,NA
"BRCA","CLTC","per_event_HM_vs_rest","HM_vs_rest","CI_M",NA,NA,NA,NA,6,3,7,NA,NA
"BRCA","CLTC","per_event_HM_vs_rest","HM_vs_rest","M",NA,NA,NA,NA,6,3,7,NA,NA
"BRCA","CLTC","per_event_HM_vs_rest","HM_vs_rest","WT",NA,NA,NA,NA,6,3,7,NA,NA
"BRCA","CLTC","per_event_pairwise","HM_vs_Classic","CNA_driver",NA,NA,NA,NA,6,3,7,NA,NA
"BRCA","CLTC","per_event_pairwise","HM_vs_Classic","CI_M",NA,NA,NA,NA,6,3,7,NA,NA
"BRCA","CLTC","per_event_pairwise","HM_vs_Classic","M",NA,NA,NA,NA,6,3,7,NA,NA
"BRCA","CLTC","per_event_pairwise","HM_vs_Classic","WT",NA,NA,NA,NA,6,3,7,NA,NA
"BRCA","CLTC","per_event_pairwise","HM_vs_WGD","CNA_driver",NA,NA,NA,NA,6,3,7,NA,NA
"BRCA","CLTC","per_event_pairwise","HM_vs_WGD","CI_M",NA,NA,NA,NA,6,3,7,NA,NA
"BRCA","CLTC","per_event_pairwise","HM_vs_WGD","M",NA,NA,NA,NA,6,3,7,NA,NA
"BRCA","CLTC","per_event_pairwise","HM_vs_WGD","WT",NA,NA,NA,NA,6,3,7,NA,NA
"BRCA","CLTC","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,6,3,7,NA,NA
"BRCA","CLTC","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,6,3,7,NA,NA
"BRCA","CLTC","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,6,3,7,NA,NA
"BRCA","CLTC","per_event_pairwise","WGD_vs_Classic","WT",NA,NA,NA,NA,6,3,7,NA,NA
"BRCA","CREBBP","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,17,1,9,NA,NA
"BRCA","CREBBP","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,17,1,9,NA,NA
"BRCA","CREBBP","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,17,1,9,NA,NA
"BRCA","CREBBP","per_event_pairwise","WGD_vs_Classic","WT",NA,NA,NA,NA,17,1,9,NA,NA
"BRCA","CSMD3","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,5,1,13,NA,NA
"BRCA","CSMD3","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,5,1,13,NA,NA
"BRCA","CSMD3","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,5,1,13,NA,NA
"BRCA","CSMD3","per_event_pairwise","WGD_vs_Classic","WT",NA,NA,NA,NA,5,1,13,NA,NA
"BRCA","CUX1","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,12,1,6,NA,NA
"BRCA","CUX1","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,12,1,6,NA,NA
"BRCA","CUX1","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,12,1,6,NA,NA
"BRCA","CUX1","per_event_pairwise","WGD_vs_Classic","WT",NA,NA,NA,NA,12,1,6,NA,NA
"BRCA","EGFR","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,17,0,6,NA,NA
"BRCA","EGFR","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,17,0,6,NA,NA
"BRCA","EGFR","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,17,0,6,NA,NA
"BRCA","EGFR","per_event_pairwise","WGD_vs_Classic","WT",NA,NA,NA,NA,17,0,6,NA,NA
"BRCA","EIF4A2","per_event_HM_vs_rest","HM_vs_rest","CNA_driver",NA,NA,NA,NA,15,3,5,NA,NA
"BRCA","EIF4A2","per_event_HM_vs_rest","HM_vs_rest","CI_M",NA,NA,NA,NA,15,3,5,NA,NA
"BRCA","EIF4A2","per_event_HM_vs_rest","HM_vs_rest","M",NA,NA,NA,NA,15,3,5,NA,NA
"BRCA","EIF4A2","per_event_HM_vs_rest","HM_vs_rest","WT",NA,NA,NA,NA,15,3,5,NA,NA
"BRCA","EIF4A2","per_event_pairwise","HM_vs_Classic","CNA_driver",NA,NA,NA,NA,15,3,5,NA,NA
"BRCA","EIF4A2","per_event_pairwise","HM_vs_Classic","CI_M",NA,NA,NA,NA,15,3,5,NA,NA
"BRCA","EIF4A2","per_event_pairwise","HM_vs_Classic","M",NA,NA,NA,NA,15,3,5,NA,NA
"BRCA","EIF4A2","per_event_pairwise","HM_vs_Classic","WT",NA,NA,NA,NA,15,3,5,NA,NA
"BRCA","EIF4A2","per_event_pairwise","HM_vs_WGD","CNA_driver",NA,NA,NA,NA,15,3,5,NA,NA
"BRCA","EIF4A2","per_event_pairwise","HM_vs_WGD","CI_M",NA,NA,NA,NA,15,3,5,NA,NA
"BRCA","EIF4A2","per_event_pairwise","HM_vs_WGD","M",NA,NA,NA,NA,15,3,5,NA,NA
"BRCA","EIF4A2","per_event_pairwise","HM_vs_WGD","WT",NA,NA,NA,NA,15,3,5,NA,NA
"BRCA","EIF4A2","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,15,3,5,NA,NA
"BRCA","EIF4A2","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,15,3,5,NA,NA
"BRCA","EIF4A2","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,15,3,5,NA,NA
"BRCA","EIF4A2","per_event_pairwise","WGD_vs_Classic","WT",NA,NA,NA,NA,15,3,5,NA,NA
"BRCA","ELN","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,15,0,7,NA,NA
"BRCA","ELN","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,15,0,7,NA,NA
"BRCA","ELN","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,15,0,7,NA,NA
"BRCA","ELN","per_event_pairwise","WGD_vs_Classic","WT",NA,NA,NA,NA,15,0,7,NA,NA
"BRCA","ERBB2","global","Classic_vs_WGD",NA,1,NA,NA,NA,15,0,4,1,1
"BRCA","ERBB2","pairwise_all_events","WGD_vs_Classic",NA,1,NA,NA,NA,15,0,4,1,1
"BRCA","ERBB2","per_event_pairwise","WGD_vs_Classic","CNA_driver",1,Inf,0.006853125,Inf,15,0,4,1,1
"BRCA","ERBB2","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,15,0,4,NA,NA
"BRCA","ERBB2","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,15,0,4,NA,NA
"BRCA","ERBB2","per_event_pairwise","WGD_vs_Classic","WT",1,0,0,145.918832649342,15,0,4,1,1
"BRCA","ERBB3","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,19,0,3,NA,NA
"BRCA","ERBB3","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,19,0,3,NA,NA
"BRCA","ERBB3","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,19,0,3,NA,NA
"BRCA","ERBB3","per_event_pairwise","WGD_vs_Classic","WT",NA,NA,NA,NA,19,0,3,NA,NA
"BRCA","ETV1","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,17,0,9,NA,NA
"BRCA","ETV1","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,17,0,9,NA,NA
"BRCA","ETV1","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,17,0,9,NA,NA
"BRCA","ETV1","per_event_pairwise","WGD_vs_Classic","WT",NA,NA,NA,NA,17,0,9,NA,NA
"BRCA","FAT1","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,19,1,3,NA,NA
"BRCA","FAT1","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,19,1,3,NA,NA
"BRCA","FAT1","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,19,1,3,NA,NA
"BRCA","FAT1","per_event_pairwise","WGD_vs_Classic","WT",NA,NA,NA,NA,19,1,3,NA,NA
"BRCA","FAT4","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,19,1,3,NA,NA
"BRCA","FAT4","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,19,1,3,NA,NA
"BRCA","FAT4","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,19,1,3,NA,NA
"BRCA","FAT4","per_event_pairwise","WGD_vs_Classic","WT",NA,NA,NA,NA,19,1,3,NA,NA
"BRCA","FBXW7","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,19,2,3,NA,NA
"BRCA","FBXW7","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,19,2,3,NA,NA
"BRCA","FBXW7","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,19,2,3,NA,NA
"BRCA","FBXW7","per_event_pairwise","WGD_vs_Classic","WT",NA,NA,NA,NA,19,2,3,NA,NA
"BRCA","FGFR2","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,16,0,3,NA,NA
"BRCA","FGFR2","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,16,0,3,NA,NA
"BRCA","FGFR2","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,16,0,3,NA,NA
"BRCA","FGFR2","per_event_pairwise","WGD_vs_Classic","WT",NA,NA,NA,NA,16,0,3,NA,NA
"BRCA","GATA3","global","Classic_vs_WGD",NA,0.000700280112044817,NA,NA,NA,13,1,5,0.0040266106442577,0.0038765506202481
"BRCA","GATA3","pairwise_all_events","WGD_vs_Classic",NA,0.000700280112044817,NA,NA,NA,13,1,5,0.00490196078431372,0.00562314478030018
"BRCA","GATA3","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,13,1,5,NA,NA
"BRCA","GATA3","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,13,1,5,NA,NA
"BRCA","GATA3","per_event_pairwise","WGD_vs_Classic","M",0.000700280112044818,0,0,0.27386526090197,13,1,5,0.00966386554621848,0.00699168556311413
"BRCA","GATA3","per_event_pairwise","WGD_vs_Classic","WT",0.000700280112044817,Inf,3.65143062214798,Inf,13,1,5,0.00966386554621848,0.00699168556311413
"BRCA","GNAS","global","Classic_vs_WGD",NA,0.304347826086957,NA,NA,NA,16,1,7,0.411764705882353,0.421195652173913
"BRCA","GNAS","pairwise_all_events","WGD_vs_Classic",NA,0.304347826086957,NA,NA,NA,16,1,7,0.42312177244711,0.502267271272339
"BRCA","GNAS","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,16,1,7,NA,NA
"BRCA","GNAS","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,16,1,7,NA,NA
"BRCA","GNAS","per_event_pairwise","WGD_vs_Classic","M",0.304347826086957,0,0,17.0625429902611,16,1,7,0.488372093023256,0.541541110632802
"BRCA","GNAS","per_event_pairwise","WGD_vs_Classic","WT",0.304347826086956,Inf,0.0586079109409877,Inf,16,1,7,0.488372093023256,0.541541110632802
"BRCA","HOXC13","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,20,0,3,NA,NA
"BRCA","HOXC13","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,20,0,3,NA,NA
"BRCA","HOXC13","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,20,0,3,NA,NA
"BRCA","HOXC13","per_event_pairwise","WGD_vs_Classic","WT",NA,NA,NA,NA,20,0,3,NA,NA
"BRCA","KMT2C","global","Classic_vs_WGD",NA,0.462450592885375,NA,NA,NA,17,0,6,0.590909090909091,0.582762942253928
"BRCA","KMT2C","pairwise_all_events","WGD_vs_Classic",NA,0.462450592885375,NA,NA,NA,17,0,6,0.588573481854114,0.661697922798755
"BRCA","KMT2C","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,17,0,6,NA,NA
"BRCA","KMT2C","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,17,0,6,NA,NA
"BRCA","KMT2C","per_event_pairwise","WGD_vs_Classic","M",0.462450592885376,0.332119951865142,0.00376130023649269,29.396415482298,17,0,6,0.678916827852998,0.716456706711579
"BRCA","KMT2C","per_event_pairwise","WGD_vs_Classic","WT",0.462450592885376,3.01096033039908,0.0340177529672683,265.865508500984,17,0,6,0.678916827852998,0.716456706711579
"BRCA","KMT2D","global","Classic_vs_WGD",NA,1,NA,NA,NA,20,0,4,1,1
"BRCA","KMT2D","pairwise_all_events","WGD_vs_Classic",NA,1,NA,NA,NA,20,0,4,1,1
"BRCA","KMT2D","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,20,0,4,NA,NA
"BRCA","KMT2D","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,20,0,4,NA,NA
"BRCA","KMT2D","per_event_pairwise","WGD_vs_Classic","M",1,Inf,0.00514375000000001,Inf,20,0,4,1,1
"BRCA","KMT2D","per_event_pairwise","WGD_vs_Classic","WT",1,0,0,194.410692588094,20,0,4,1,1
"BRCA","KRAS","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,14,0,3,NA,NA
"BRCA","KRAS","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,14,0,3,NA,NA
"BRCA","KRAS","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,14,0,3,NA,NA
"BRCA","KRAS","per_event_pairwise","WGD_vs_Classic","WT",NA,NA,NA,NA,14,0,3,NA,NA
"BRCA","MAP3K1","global","Classic_vs_WGD",NA,0.000499750124937531,NA,NA,NA,21,0,5,0.00383141762452107,0.00281677343146609
"BRCA","MAP3K1","pairwise_all_events","WGD_vs_Classic",NA,0.000999500249875062,NA,NA,NA,21,0,5,0.00559720139930035,0.00757367794975751
"BRCA","MAP3K1","per_event_pairwise","WGD_vs_Classic","CNA_driver",0.0307692307692308,0,0,1.13550541874639,21,0,5,0.132692307692308,0.127327935222672
"BRCA","MAP3K1","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,21,0,5,NA,NA
"BRCA","MAP3K1","per_event_pairwise","WGD_vs_Classic","M",0.062420188507145,0.125490823914537,0.00731183873842972,1.55785334798152,21,0,5,0.224025974025974,0.21165659607005
"BRCA","MAP3K1","per_event_pairwise","WGD_vs_Classic","WT",0.000851322590453022,Inf,3.2019084481955,Inf,21,0,5,0.00979020979020975,0.00823818322146078
"BRCA","MECOM","global","Classic_vs_WGD",NA,1,NA,NA,NA,16,2,5,1,1
"BRCA","MECOM","pairwise_all_events","WGD_vs_Classic",NA,1,NA,NA,NA,16,2,5,1,1
"BRCA","MECOM","per_event_pairwise","WGD_vs_Classic","CNA_driver",1,Inf,0.00802832031250001,Inf,16,2,5,1,1
"BRCA","MECOM","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,16,2,5,NA,NA
"BRCA","MECOM","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,16,2,5,NA,NA
"BRCA","MECOM","per_event_pairwise","WGD_vs_Classic","WT",1,0,0,124.559056075903,16,2,5,1,1
"BRCA","MYH11","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,18,1,9,NA,NA
"BRCA","MYH11","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,18,1,9,NA,NA
"BRCA","MYH11","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,18,1,9,NA,NA
"BRCA","MYH11","per_event_pairwise","WGD_vs_Classic","WT",NA,NA,NA,NA,18,1,9,NA,NA
"BRCA","NCOR1","global","Classic_vs_WGD",NA,0.00299850074962519,NA,NA,NA,16,0,3,0.0114942528735632,0.0102146728833385
"BRCA","NCOR1","pairwise_all_events","WGD_vs_Classic",NA,0.00349825087456272,NA,NA,NA,16,0,3,0.0163251707479594,0.0202371932313413
"BRCA","NCOR1","per_event_pairwise","WGD_vs_Classic","CNA_driver",0.00412796697626419,0,0,0.434884811447174,16,0,3,0.0284829721362229,0.0286905108074052
"BRCA","NCOR1","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,16,0,3,NA,NA
"BRCA","NCOR1","per_event_pairwise","WGD_vs_Classic","M",1,Inf,0.00482324218750001,Inf,16,0,3,1,1
"BRCA","NCOR1","per_event_pairwise","WGD_vs_Classic","WT",0.0103199174406605,Inf,1.52516206384847,Inf,16,0,3,0.0563171855367862,0.0569405971068021
