1,10,0.4,70,1e-06
2,10,0.4,70,1e-06
3,10,0.4,70,1e-06
4,10,0.4,70,1e-06
5,10,0.4,70,1e-06
1,80,0.4,70,1e-06
2,80,0.4,70,1e-06
3,80,0.4,70,1e-06
4,80,0.4,70,1e-06
5,80,0.4,70,1e-06
1,10,0.8,70,1e-06
2,10,0.8,70,1e-06
3,10,0.8,70,1e-06
4,10,0.8,70,1e-06
5,10,0.8,70,1e-06
1,80,0.8,70,1e-06
2,80,0.8,70,1e-06
3,80,0.8,70,1e-06
4,80,0.8,70,1e-06
5,80,0.8,70,1e-06
1,10,0.4,70,7e-06
2,10,0.4,70,7e-06
3,10,0.4,70,7e-06
4,10,0.4,70,7e-06
5,10,0.4,70,7e-06
1,80,0.4,70,7e-06
2,80,0.4,70,7e-06
3,80,0.4,70,7e-06
4,80,0.4,70,7e-06
5,80,0.4,70,7e-06
1,10,0.8,70,7e-06
2,10,0.8,70,7e-06
3,10,0.8,70,7e-06
4,10,0.8,70,7e-06
5,10,0.8,70,7e-06
1,80,0.8,70,7e-06
2,80,0.8,70,7e-06
3,80,0.8,70,7e-06
4,80,0.8,70,7e-06
5,80,0.8,70,7e-06
