1,2,0.5,40,8.87124711014914e-07
1,2,0.5,70,8.87124711014914e-07
1,2,0.8,40,8.87124711014914e-07
1,2,0.8,70,8.87124711014914e-07
2,2,0.5,40,8.87124711014914e-07
2,2,0.5,70,8.87124711014914e-07
2,2,0.8,40,8.87124711014914e-07
2,2,0.8,70,8.87124711014914e-07
1,4,0.5,40,8.48299517184708e-07
1,4,0.5,70,8.48299517184708e-07
1,4,0.8,40,8.48299517184708e-07
1,4,0.8,70,8.48299517184708e-07
2,4,0.5,40,8.48299517184708e-07
2,4,0.5,70,8.48299517184708e-07
2,4,0.8,40,8.48299517184708e-07
2,4,0.8,70,8.48299517184708e-07
3,4,0.5,40,8.48299517184708e-07
3,4,0.5,70,8.48299517184708e-07
3,4,0.8,40,8.48299517184708e-07
3,4,0.8,70,8.48299517184708e-07
4,4,0.5,40,8.48299517184708e-07
4,4,0.5,70,8.48299517184708e-07
4,4,0.8,40,8.48299517184708e-07
4,4,0.8,70,8.48299517184708e-07
1,3,0.5,40,2.29936210716786e-06
1,3,0.5,70,2.29936210716786e-06
1,3,0.8,40,2.29936210716786e-06
1,3,0.8,70,2.29936210716786e-06
2,3,0.5,40,2.29936210716786e-06
2,3,0.5,70,2.29936210716786e-06
2,3,0.8,40,2.29936210716786e-06
2,3,0.8,70,2.29936210716786e-06
3,3,0.5,40,2.29936210716786e-06
3,3,0.5,70,2.29936210716786e-06
3,3,0.8,40,2.29936210716786e-06
3,3,0.8,70,2.29936210716786e-06
1,22,0.5,40,2.80709736809409e-06
1,22,0.5,70,2.80709736809409e-06
1,22,0.8,40,2.80709736809409e-06
1,22,0.8,70,2.80709736809409e-06
2,22,0.5,40,2.80709736809409e-06
2,22,0.5,70,2.80709736809409e-06
2,22,0.8,40,2.80709736809409e-06
2,22,0.8,70,2.80709736809409e-06
3,22,0.5,40,2.80709736809409e-06
3,22,0.5,70,2.80709736809409e-06
3,22,0.8,40,2.80709736809409e-06
3,22,0.8,70,2.80709736809409e-06
4,22,0.5,40,2.80709736809409e-06
4,22,0.5,70,2.80709736809409e-06
4,22,0.8,40,2.80709736809409e-06
4,22,0.8,70,2.80709736809409e-06
5,22,0.5,40,2.80709736809409e-06
5,22,0.5,70,2.80709736809409e-06
5,22,0.8,40,2.80709736809409e-06
5,22,0.8,70,2.80709736809409e-06
1,38,0.5,40,6.43820018563674e-06
1,38,0.5,70,6.43820018563674e-06
1,38,0.8,40,6.43820018563674e-06
1,38,0.8,70,6.43820018563674e-06
2,38,0.5,40,6.43820018563674e-06
2,38,0.5,70,6.43820018563674e-06
2,38,0.8,40,6.43820018563674e-06
2,38,0.8,70,6.43820018563674e-06
3,38,0.5,40,6.43820018563674e-06
3,38,0.5,70,6.43820018563674e-06
3,38,0.8,40,6.43820018563674e-06
3,38,0.8,70,6.43820018563674e-06
4,38,0.5,40,6.43820018563674e-06
4,38,0.5,70,6.43820018563674e-06
4,38,0.8,40,6.43820018563674e-06
4,38,0.8,70,6.43820018563674e-06
5,38,0.5,40,6.43820018563674e-06
5,38,0.5,70,6.43820018563674e-06
5,38,0.8,40,6.43820018563674e-06
5,38,0.8,70,6.43820018563674e-06
